qc_job_name|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
海外成衣品管（QC)|全滢（上海）贸易有限公司|上海-闵行区|6.5-8.5千/月|06-12|外资（非欧美）  |  50-150人  |  贸易/进出口批发/零售||公司地址：上海市莘东路521号5楼(邮编：201199)
货代海外客服/双休缴五险一金|深圳市鸿安货运代理有限公司宁波分公司|宁波-海曙区|5-7千/月|06-12|外资（非欧美）  |  50-150人  |  交通/运输/物流||公司地址：和义路168号万豪中心1602室(邮编：315000)
海外指定货操作助理|东方超捷国际货运代理（深圳）有限公司广州分公司|广州-越秀区|3.5-4.5千/月|06-12|外资（非欧美）  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：广州市越秀区东风中路350号瑞兴大厦1802室(邮编：510030)
海外推广|爱键集团有限公司|深圳-宝安区|0.8-1万/月|06-12|民营公司  |  500-1000人  |  贸易/进出口通信/电信/网络设备||公司地址：广东省深圳市宝安区115区西乡大道与前进路交汇处美兰大厦25楼(邮编：518102)
海外市场部部长|成都君德鑫力达科技发展有限公司|成都|0.8-1万/月|06-12|民营公司  |  少于50人  |  计算机软件互联网/电子商务||公司地址：四川省成都市金牛区(邮编：610041)
研发部-大区销售经理（海外）|中国移动通信集团终端有限公司|北京||06-12|国企  |  通信/电信/网络设备|  计算机软件互联网/电子商务||公司地址：四川省成都市金牛区(邮编：610041)
海外采供助理|上海库智信息科技有限公司|上海-普陀区|4.5-6千/月|06-12|合资  |  150-500人  |  互联网/电子商务服装/纺织/皮革||公司地址：上海(邮编：200000)
海外市场销售总监|广东澄星无人机股份有限公司|深圳|1.5-2万/月|06-12|上市公司  |  150-500人  |  贸易/进出口家具/家电/玩具/礼品||公司地址：澄海区凤新工业区(邮编：515800)
外贸销售/高薪双休/海外销售/外贸业务员/外贸跟单员|天津市中通联信科技有限公司|天津-河西区|3.5-6千/月|06-12|民营公司  |  少于50人  |  仪器仪表/工业自动化贸易/进出口||公司地址：天津市河西区台儿庄南路129号鼎润大厦2-2-1201(邮编：300210)
海外部文件|深圳市顺锐达国际物流有限公司|深圳-龙岗区|6-8千/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：深圳市龙岗区黄阁路天安数码城4栋A座1202室(邮编：518172)
海外客服/Overseas CSR Clerk|深圳市星高国际货运代理有限公司|广州-天河区|4-6千/月|06-12|民营公司  |  150-500人  |  交通/运输/物流||公司地址：南山区南海大道1052号海翔广场417(邮编：518067)
海外销售助理|上海良策国际物流有限公司|上海-虹口区|6-8千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：上海市虹口区花园路66号嘉和国际大厦1座2612室(邮编：200083)
加拿大留学顾问（有海外学习或留学工作经历者优先）|山东启德学府教育咨询有限公司|济南-历下区|6-8千/月|06-12|民营公司  |  1000-5000人  |  教育/培训/院校中介服务||公司地址：济南市历下区千佛山路6号学府大酒店B区三层(邮编：250061)
海外部文员（双休+五险一金）|万达运通国际货运代理有限公司广州分公司|广州-越秀区|4-5千/月|06-12|Íâ×Ê£¨·ÇÅ·ÃÀ£©  |  500-1000ÈË  |  ½»Í¨/ÔËÊä/ÎïÁ÷||¹«Ë¾µØÖ·£º¹ãÖÝÊÐÔ½ÐãÇø¶«·çÎ÷Â·191ºÅ¹ú¼ÊÒøÐÐÖÐÐÄ1602ÊÒ(ÓÊ±à£º510095)
海外销售|青岛格瑞丰国际货运代理有限公司深圳分公司|深圳|4.5-6千/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：深圳市罗湖区解放路3002号港岛银座2405(邮编：518001)
海外市场专员|深圳市安达顺国际物流有限公司广州分公司|广州-天河区|3-4.5千/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：广州市体育东路羊城国贸东塔2504-2505(邮编：000000)
海外部客服(老街地铁站旁）|千禧国际货运代理（深圳）有限公司|深圳-罗湖区|4.5-6千/月|06-12|ÃñÓª¹«Ë¾  |  50-150ÈË  |  ½»Í¨/ÔËÊä/ÎïÁ÷||¹«Ë¾µØÖ·£ºÉîÛÚÊÐÂÞºþÉîÄÏ¶«Â·3018ºÅÏéì÷ÉÌÏÃ2101(ÓÊ±à£º518003)
海外代理开发国际货运代理销售(欢迎英语良好的应届生)|深圳市三明国际货运代理有限公司|深圳-龙华新区|3-4.5千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：龙华新区民治大道325号东边商务大楼3078(邮编：518000)
谷歌海外推广|广州依琪贸易有限公司|广州|7.5-9千/月|06-12|民营公司  |  50-150人  |  贸易/进出口||公司地址：广州市白云区沙太北路211号新苑写字楼B325(邮编：510515)
海外销售经理|北京同方吉兆科技有限公司|北京-海淀区|5-8千/月|06-12|国企  |  150-500人  |  电子技术/半导体/集成电路仪器仪表/工业自动化||公司地址：北京市海淀区王庄路1号清华同方科技大厦A座26层(邮编：100083)
海外销售经理|深圳市云顶数通科技有限公司|深圳-南山区|0.8-1万/月|06-12|民营公司  |  少于50人  |  通信/电信/网络设备通信/电信运营、增值服务||公司地址：南山区科技园汇景豪苑海悦阁8A(邮编：518057)
地产事业部海外项目总监|北京复华资产管理有限公司重庆分公司|重庆-渝中区|2.5-3万/月|06-12|民营公司  |  150-500人  |  金融/投资/证券||公司地址：重庆市渝中区民族路188号环球金融中心53楼(邮编：400000)
海外销售工程师|深圳市易甲文技术有限公司|深圳|4-7千/月|06-12|民营公司  |  50-150人  |  电子技术/半导体/集成电路||公司地址：深圳市宝安区洪浪北二路庭威产业园3栋4楼F区(邮编：518000)
海外销售代表 Overseas Sales|深圳市远恒峰国际货运代理有限公司|深圳|8-10万/年|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：深圳市南山区南海大道西美年广场（蛇口沃尔玛对面）(邮编：000000)
海外业务专员/主管|上海元初国际物流有限公司|上海-虹口区|1-1.3万/月|06-12|民营公司  |  150-500人  |  交通/运输/物流贸易/进出口||公司地址：上海市虹口区四川北路525号28楼(邮编：200085)
海外跟单|上海捷盛博国际货物运输代理有限公司|温州|3-4.5千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：上海普陀区曹杨路710弄6号楼2403室(邮编：200000)
销售管理实习生（海外）|湖南深思电工实业有限公司|异地招聘|0.6-1万/月|06-12|民营公司  |  1000-5000人  |  建筑/建材/工程||公司地址：长沙市人民东路46号铭诚国际大厦12楼(邮编：410000)
海外医疗营销总经理|北京豆各庄金丰置业有限公司|北京|30-50万/年|06-12|民营公司  |  少于50人  |  房地产金融/投资/证券||公司地址：北京市朝阳区东坝郊野公园(邮编：100018)
海外拓展（底薪+高提成）双休|深圳市世倡货运有限公司|深圳-罗湖区|0.6-2万/月|06-12|民营公司  |  150-500人  |  交通/运输/物流贸易/进出口||公司地址：深圳市罗湖区迎春路海外联谊大厦18楼（整层）(邮编：518001)
海外采购|丰国产业商贸（东莞）有限公司|东莞|4.5-6千/月|06-12|外资（非欧美）  |  少于50人  |  贸易/进出口||公司地址：东莞市厚街寮厦鸿骏国际13A01-02(邮编：523900)
海外市场总监（手游发行）|上海游陆信息科技有限公司|上海-闵行区|1-1.5万/月|06-12|民营公司  |  少于50人  |  网络游戏||公司地址：闵行区宜山路1618号新意城A座1001A室(邮编：201103)
海外销售|深圳安普国际物流有限公司|深圳-福田区|2.5-8千/月|06-12|民营公司  |  150-500人  |  交通/运输/物流||公司地址：深圳市福田区安徽大厦2214-2219室（车公庙，天安数码城北面，深南大道旁）(邮编：518040)
海外业务助理|深圳市宝行健国际货运代理有限公司广州分公司|广州-越秀区|4.5-6千/月|06-12|民营公司  |  50-150人  |  交通/运输/物流贸易/进出口||公司地址：越秀区德政北路538号达信大厦23A06室(邮编：510045)
海外销售|深圳市利航达国际货运代理有限公司|深圳-福田区|6-8千/月|06-12|ÃñÓª¹«Ë¾  |  ÉÙÓÚ50ÈË  |  ½»Í¨/ÔËÊä/ÎïÁ÷||¹«Ë¾µØÖ·£º¸£ÃñÂ·12ºÅÖª±¾´óÏÃ1903(ÓÊ±à£º518038)
初级海外房产投资顾问|NEULION GROUP, LLC|上海|6-8千/月|06-12|Íâ×Ê£¨Å·ÃÀ£©  |  50-150ÈË  |  ½ðÈÚ/Í¶×Ê/Ö¤È¯·¿µØ²ú||¹«Ë¾µØÖ·£ºÉÏº£ÆÖ¶«ÐÂÇøÊÀ¼Í´óµÀ88ºÅ½ðÃ¯´óÏÃ1403ÊÒ(ÓÊ±à£º200121)
海外技术销售经理（猪、禽、水产、宠物方向各一）|广东海纳川生物科技股份有限公司|异地招聘|2.5-5万/月|06-12|上市公司  |  150-500人  |  制药/生物工程农/林/牧/渔||公司地址：广东省佛山市高明区杨和镇杨梅西区；广东省广州市番禺区天安节能科技园科技创新大厦910室(邮编：528500)
海外房产销售|北京嘉盛汇通投资咨询有限公司|北京-朝阳区|3-4.5千/月|06-12|民营公司  |  少于50人  |  专业服务(咨询、人力资源、财会)||公司地址：北京市朝阳区呼家楼北路38号安联大厦1110(邮编：100026)
海外部总监|深圳市亚威信息科技集团有限公司|深圳-南山区|1-1.5万/月|06-12|民营公司  |  50-150人  |  文字媒体/出版公关/市场推广/会展||公司地址：深圳市南山区科技园南区高新南七道与科技南八路交汇处豪威科技大厦25楼(邮编：518100)
海外业务员|东莞市金隅晟塑胶模具制品有限公司|东莞-塘厦镇|4.5-6千/月|06-12|民营公司  |  150-500人  |  服装/纺织/皮革||公司地址：塘厦镇石鼓社区聚龙路7号D幢(邮编：512880)
海外客服（英文客服/英语客服）|跨海侠科技（武汉）有限公司|武汉-青山区|3-8千/月|06-12|民营公司  |  150-500人  |  互联网/电子商务||公司地址：武汉市青山区建设九路红钢二街中交江锦湾10栋A座26层(邮编：430000)
会展销售+周末双休+海外带团机会+底薪4.5K起|达职信息技术（上海）有限公司|上海-闸北区|1-1.5万/月|06-12|合资  |  150-500人  |  互联网/电子商务教育/培训/院校||公司地址：上海各区分公司(邮编：050000)
外贸业务员/外贸销售/海外销售/外贸专员|深圳市环盛机电有限公司|深圳-龙岗区|6-8千/月|06-12|民营公司  |  少于50人  |  贸易/进出口机械/设备/重工||公司地址：龙岗区横岗228工业区17栋2楼201室(邮编：518115)
海外销售|上海威固信息技术股份有限公司|上海-青浦区|6-8千/月|06-12|民营公司  |  50-150人  |  电子技术/半导体/集成电路计算机硬件||公司地址：上海市青浦区徐泾镇高泾路599号B楼208室(邮编：201702)
海外市场主管|南京享声音响有限公司|南京|8-20万/年|06-12|民营公司  |  少于50人  |  电子技术/半导体/集成电路||公司地址：雨花区玉兰路99号明发广场4栋408(邮编：210000)
海外销售|河北洛可斯国际贸易有限公司|天津-滨海新区|3-4.5千/月|06-12|民营公司  |  150-500人  |  贸易/进出口||公司地址：滨海新区开发区一大街MSDC3座1101室(邮编：300457)
海外销售代表|深圳中科维优科技有限公司|深圳-龙岗区|0.4-2万/月|06-12|民营公司  |  少于50人  |  电子技术/半导体/集成电路计算机软件||公司地址：深圳市龙岗区龙城街道办清林西路龙城工业园一号四楼(邮编：518172)
初级客户代表（海外销售方向）|决策者（CDMC）|上海-宝山区|6-8千/月|06-12|合资  |  150-500人  |  公关/市场推广/会展专业服务(咨询、人力资源、财会)||公司地址：上海市长逸路15号复旦软件园A幢9层(邮编：200441)
海外会展顾问|宁波至诚国际展览有限公司|宁波-鄞州区|6-8千/月|06-12|民营公司  |  少于50人  |  公关/市场推广/会展||公司地址：宁波市鄞州区鄞州商务大厦22楼(邮编：315000)
海外拓展专员|厦门联合物流有限公司上海分公司|上海-虹口区|5-8千/月|06-12|外资（非欧美）  |  500-1000人  |  交通/运输/物流贸易/进出口||公司地址：上海四川北路1666号高宝新时代大厦15楼(邮编：200080)
海运/货代 海外销售代表|深圳市永淏国际物流有限公司|深圳-南山区|4.5-6千/月|06-12|ÃñÓª¹«Ë¾  |  ÉÙÓÚ50ÈË  |  ½»Í¨/ÔËÊä/ÎïÁ÷||¹«Ë¾µØÖ·£ºÄÏÉ½ÇøÇ°º£Â·ÀöÍå´óÏÃA1306,1307(ÓÊ±à£º518054)
独立理财顾问 IFA - 针对海外归国留学生|深圳市达旭投资有限公司|深圳|15-20万/年|06-12|ÉÏÊÐ¹«Ë¾  |  1000-5000ÈË  |  ½ðÈÚ/Í¶×Ê/Ö¤È¯×¨Òµ·þÎñ(×ÉÑ¯¡¢ÈËÁ¦×ÊÔ´¡¢²Æ»á)||¹«Ë¾µØÖ·£ºÉîÛÚÊÐ¸£Ìï…^ÈA¸»Â·ÖÐº½ÖÐÐÄ1102(ÓÊ±à£º518000)
海外市场推广运营专员（8K+高提成）|深圳市凌酷电子商务有限公司|深圳-龙华新区|0.8-2万/月|06-12|民营公司  |  50-150人  |  互联网/电子商务贸易/进出口||公司地址：龙华民治宝山工业区A8栋4楼东(邮编：518000)
海外销售经理|硕方科技（北京）有限公司|北京|1-1.5万/月|06-12|民营公司  |  150-500人  |  仪器仪表/工业自动化电子技术/半导体/集成电路||公司地址：北京市海淀北区上地信息产业基地(邮编：100085)
海外销售代表|深圳市华展国际物流有限公司|深圳-福田区|3-4千/月|06-12|民营公司  |  500-1000人  |  交通/运输/物流贸易/进出口||公司地址：福田中心区益田路4068号卓越时代广场九楼(邮编：518048)
海外出纳（非洲）|德州宏运通国际物流股份有限公司|异地招聘|0.8-1万/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：齐河经济开发区园区北路以北纬二路以南(邮编：253000)
外贸业务员/海外销售|深圳市泓惠信息技术有限公司|深圳-宝安区|6-8千/月|06-12|民营公司  |  150-500人  |  计算机硬件通信/电信/网络设备||公司地址：宝安区松岗田洋六路9号(邮编：518105)
海外贸易助理|上海凌航实业集团有限公司|上海-徐汇区|6-8千/月|06-12|民营公司  |  50-150人  |  贸易/进出口||公司地址：徐汇区宜山路829号新海博大楼318室(邮编：200233)
Affiliate 海外网盟主管|杭州谷德网络科技有限公司|广州-番禺区|6-8千/月|06-12|民营公司  |  少于50人  |  互联网/电子商务||公司地址：广州番禺区南村镇金源路（板桥地铁站）(邮编：510000)
院校合作经理(上市公司+五险一金+海外游)|郑州达内科技有限公司|郑州-金水区|0.8-1万/月|06-12|上市公司  |  5000-10000人  |  教育/培训/院校计算机软件||公司地址：金水区文化路优胜北路芯互连大厦17楼(邮编：450000)
海外置业顾问|深圳市世居海外置业服务有限公司|上海-浦东新区|0.5-2万/月|06-12|外资（非欧美）  |  50-150人  |  中介服务||公司地址：深圳市福田区石厦北二街西新天世纪商务中心A座7层705-707(邮编：518000)
产品经理-海外酒店|上海华民国际旅行社有限公司|上海|6-9千/月|06-12|民营公司  |  50-150人  |  酒店/旅游||公司地址：闸北区海宁路899号长泰企业天地广场A座裙楼303-305室(邮编：200070)
信息调研员（多劳多得+双休+海外游）|北京瑞达恒建筑咨询有限公司天津分公司|天津-河西区|4-6千/月|06-12|民营公司  |  500-1000人  |  互联网/电子商务专业服务(咨询、人力资源、财会)||公司地址：天津市河西区解放南路376号富裕中心2号楼18层(邮编：300000)
海外项目经理|中新国际运输服务有限公司|北京-海淀区|0.8-1.2万/月|06-12|民营公司  |  150-500人  |  交通/运输/物流||公司地址：北京市海淀区中关村东路66号世纪科贸大厦B座27层(邮编：100190)
海外客户服务|深圳市科利尔照明有限责任公司|深圳-福田区|3-4.5千/月|06-12|民营公司  |  150-500人  |  电子技术/半导体/集成电路贸易/进出口||公司地址：深圳福田区卓越城南区2期B座901(邮编：518055)
海外房产销售经理（高级管理岗）|纽兰投资咨询（上海）有限公司北京分公司|北京|50-60万/年|06-12|ÍâÆó´ú±í´¦  |  50-150ÈË  |  ½ðÈÚ/Í¶×Ê/Ö¤È¯×¨Òµ·þÎñ(×ÉÑ¯¡¢ÈËÁ¦×ÊÔ´¡¢²Æ»á)||¹«Ë¾µØÖ·£º¶«³ÇÇø¶«³¤°²½Ö1ºÅ¶«·½¹ã³¡E2×ù(ÓÊ±à£º100000)
海外部业务员4K-6K|无锡市格利姆乐器科技有限公司|无锡-南长区|4.5-6千/月|06-12|民营公司  |  50-150人  |  娱乐/休闲/体育||公司地址：运河东路150号(邮编：214000)
销售代表+海外带团机会+底薪4.5K起|上海醒诺网络科技有限公司|上海-闸北区|1-1.5万/月|06-12|合资  |  150-500人  |  互联网/电子商务快速消费品(食品、饮料、化妆品)||公司地址：上海市闵行区(邮编：020000)
海外服装质检|美尚（无锡）纺织品有限公司|无锡|1-1.5万/月|06-12|外资（非欧美）  |  50-150人  |  贸易/进出口服装/纺织/皮革||公司地址：无锡市滨湖区山水城科教软件园B区1号(邮编：214125)
海外房产移民置业顾问|澳洲太平洋房地产投资集团|北京|1-1.5万/月|06-12|合资  |  50-150人  |  房地产多元化业务集团公司||公司地址：上海静安区北京西路1701号静安中华大厦905室(邮编：200040)
财务经理（海外）|深圳市递四方速递有限公司|深圳-宝安区|1-1.5万/月|06-12|合资  |  1000-5000人  |  交通/运输/物流||公司地址：深圳市宝安区深圳国际机场机场四道国内货运村(邮编：518052)
海外财务经理|北京盛伦国际物流有限公司上海分公司|异地招聘|0.8-1万/月|06-12|ÃñÓª¹«Ë¾  |  50-150ÈË  |  ½»Í¨/ÔËÊä/ÎïÁ÷||¹«Ë¾µØÖ·£ºÉÏº£ÊÐÑîÆÖÇø´óÁ¬Â·950ºÅº£ÉÏº£ÐÂ³ÇÉÌÎñÂ¥8ºÅÂ¥201-202ÊÒ(ÓÊ±à£º200092)
软件技术支持工程师海外市场|武汉市蒙泰科技发展有限责任公司|武汉-洪山区|4.5-6千/月|06-12|民营公司  |  50-150人  |  计算机软件计算机硬件||公司地址：武汉市武珞路717号兆富国际大厦22层(邮编：430072)
海外销售工程师|长园和鹰智能科技有限公司|上海-闵行区|10-15万/年|06-12|合资  |  500-1000人  |  机械/设备/重工||公司地址：上海市闵行区莘福路68号(邮编：201199)
海外市场推广总监|山东新华锦商通国际贸易服务有限公司|济南|5-8千/月|06-12|民营公司  |  少于50人  |  贸易/进出口||公司地址：滨州市滨城区渤海十六路637号济南海关驻滨州办事处(邮编：256603)
海外留学生/海归人才（投资理财顾问）|金海棠资产管理有限公司|上海-虹口区|0.8-1万/月|06-12|民营公司  |  500-1000人  |  金融/投资/证券银行||公司地址：上海市虹口区武进路190号虹口SOHO大厦33层(邮编：200080)
海外销售经理/主管|广州菲亚兰德电气有限公司|广州|12-50万/年|06-12|民营公司  |  150-500人  |  贸易/进出口||公司地址：广州市越秀区先烈中路69号东山广场23楼2312-2317室(邮编：510095)
驻海外代表|青岛明朗发制品有限公司|异地招聘|0.8-1.5万/月|06-12|外资（欧美）  |  1000-5000人  |  美容/保健贸易/进出口||公司地址：山东省菏泽市鄄城县富春经济开发区(邮编：274600)
海外市场业务员|深圳市迪威泰实业有限公司|深圳-宝安区|0.5-1万/月|06-12|民营公司  |  150-500人  |  电子技术/半导体/集成电路||公司地址：深圳市宝安区固戍村东方建富愉盛工业区11栋7楼(邮编：518053)
海外市场分析师|亚洲金属网|北京-朝阳区|1.5-2万/月|06-12|民营公司  |  150-500人  |  互联网/电子商务专业服务(咨询、人力资源、财会)||公司地址：:北京市朝阳区建国门外大街甲6号SK大厦804室(邮编：100022)
海外销售/海外销售专员|上海施途化工科技有限公司|上海-松江区|4.5-6千/月|06-12|民营公司  |  少于50人  |  贸易/进出口互联网/电子商务||公司地址：上海市松江区申北一路99弄7号(邮编：201612)
海外市场专员|上海嘉峥机械有限公司|上海|0.5-1万/月|06-12|外资（非欧美）  |  150-500人  |  仪器仪表/工业自动化机械/设备/重工||公司地址：上海市嘉定区黄渡工业园区谢春路1255号(邮编：201804)
海外保险顾问|湖北善盈投资有限公司|武汉-江岸区|0.8-1万/月|06-12|ÃñÓª¹«Ë¾  |  150-500ÈË  |  ½ðÈÚ/Í¶×Ê/Ö¤È¯ÐÅÍÐ/µ£±£/ÅÄÂô/µäµ±||¹«Ë¾µØÖ·£º½­°¶Çø¾©ºº´ïµ½1398ºÅÆóÒµÌìµØ2ºÅÂ¥12Â¥(ÓÊ±à£º430000)
信息调研员（多劳多得+双休+海外游）|北京瑞达恒建筑咨询有限公司武汉分公司|武汉-武昌区|6-8千/月|06-12|民营公司  |  500-1000人  |  互联网/电子商务专业服务(咨询、人力资源、财会)||公司地址：武汉市武昌区中北路86号汉街总部国际写字楼A座1302-1303室(邮编：430000)
海外销售助理/业务助理/业务跟单|麒丰国际物流（上海）有限公司|上海-卢湾区|6-8千/月|06-12|民营公司  |  50-150人  |  交通/运输/物流贸易/进出口||公司地址：雁荡路107号雁荡大厦7G(邮编：200020)
海外-无线网优&juniper运维&IPRAN运维&工程&设计经理|安徽通领网络科技有限公司|国外|1-5万/月|06-12|民营公司  |  50-150人  |  通信/电信/网络设备计算机软件||公司地址：安徽省合肥市蜀山区蜀山产业园湖光路168号(邮编：230000)
海外市场专员|武汉中光谷激光设备有限公司|武汉-洪山区|4.5-6千/月|06-12|民营公司  |  50-150人  |  机械/设备/重工仪器仪表/工业自动化||公司地址：武汉市东湖高新技术开发区光谷大道58号光谷总部国际工业园(邮编：430070)
(HK)海外资产配置专员|汇才方略咨询（深圳）有限公司|深圳-福田区|1-1.5万/月|06-12|外资（非欧美）  |  150-500人  |  金融/投资/证券专业服务(咨询、人力资源、财会)||公司地址：福田区卓越世纪中心(邮编：518000)
广告销售经理（海外搜索引擎）|广州英虎网络股份有限公司|广州-海珠区|1-1.5万/月|06-12|民营公司  |  50-150人  |  互联网/电子商务通信/电信/网络设备||公司地址：广州市海珠区敦和路189号海珠科技园3号楼4层（总部）(邮编：510310)
海外市场推广经理 / 品牌推广经理|广州网谊贸易有限公司|广州-白云区|1-1.5万/月|06-12|民营公司  |  50-150人  |  互联网/电子商务||公司地址：广州市白云区鹤龙街尖彭路南面02号M3创意园A栋5楼(邮编：510440)
海外投资顾问|汇才方略咨询（深圳）有限公司|深圳|1-1.5万/月|06-12|外资（非欧美）  |  500-1000人  |  金融/投资/证券专业服务(咨询、人力资源、财会)||公司地址：福田区(邮编：518000)
托福 SAT GRE GMAT教师（海外留学及有经验者优先）|朗阁教育集团（青岛）|青岛|4-6千/月|06-12|民营公司  |  500-1000人  |  教育/培训/院校||公司地址：青岛市市南区闽江路2号（国华大厦B座29楼）(邮编：266071)
销售代表 底薪5000 应届生 五险一金 海外游 销售经理|南京链家房地产经纪有限公司|南京-鼓楼区|0.5-2万/月|06-12|民营公司  |  房地产|  教育/培训/院校||公司地址：青岛市市南区闽江路2号（国华大厦B座29楼）(邮编：266071)
海外销售经理|上海豹海国际货运代理有限公司|上海-虹口区|0.8-1万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：上海市虹口区花园路128号7街区A座1022室(邮编：200083)
大客户销售-海外食品厂客户|钧阳（深圳）发展股份有限公司|异地招聘|1.2-2.4万/月|06-12|民营公司  |  150-500人  |  快速消费品(食品、饮料、化妆品)贸易/进出口||公司地址：南山区蛇口网谷工业五路万维大楼205室(邮编：518000)
海外销售经理|深圳市风云实业有限公司|深圳-南山区|6-8千/月|06-12|民营公司  |  150-500人  |  通信/电信/网络设备互联网/电子商务||公司地址：深圳市南山区高新技术产业园北区银河风云大厦六楼(邮编：518055)
昂立外语海外暑期助教|昂立教育集团外语事业部|上海-徐汇区|100元/天|06-12|上市公司  |  1000-5000人  |  教育/培训/院校||公司地址：宜山路425号光启城商务楼5楼(邮编：200235)
海外客服|深圳市拓普泉物流有限公司|深圳-龙华新区|4.5-6千/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：深圳市龙华新区大浪街道丽荣路国乐科技园4栋3楼302室(邮编：518055)
大客户销售代表（高收入+快晋升+海外游）|北京瑞达恒建筑咨询有限公司|北京-西城区|0.7-1.4万/月|06-12|民营公司  |  500-1000人  |  互联网/电子商务专业服务(咨询、人力资源、财会)||公司地址：北京市宣武门外大街10号庄胜广场中央办公楼南翼937-948室(邮编：100000)
高薪诚聘 vivo海外业务经理|西安维沃通信设备有限责任公司|异地招聘|0.5-1万/月|06-12|民营公司  |  1000-5000人  |  通信/电信/网络设备||公司地址：西安市碑林区南稍门中贸广场15栋2单元(邮编：710000)
销售 无责4k底薪 五险一金 专业培训 海外游|苏州我爱我家房地产经纪有限公司葑门分店|苏州-姑苏区|0.8-1万/月|06-12|民营公司  |  500-1000人  |  房地产||公司地址：沧浪区莫邪路384号(邮编：288011)
链家总部直聘-新房直销-无责底薪4k-七险一金-海外培训|北京房江湖科技南京有限公司|南京-江宁区|4-8千/月|06-12|民营公司  |  150-500人  |  房地产互联网/电子商务||公司地址：华侨路56号(邮编：210000)
SNS专员facebook推广专员海外社交媒体运营维护|宁波市镇海立帛贸易有限公司|宁波-镇海区|4.5-6千/月|06-12|民营公司  |  少于50人  |  贸易/进出口互联网/电子商务||公司地址：逸夫路和中官路交叉口(邮编：315200)
海外仓运营高级经理|小红书|上海|2.5-3.5万/月|06-12|合资  |  150-500人  |  互联网/电子商务||公司地址：上海市黄浦区(邮编：200031)
H海外金融管培生（提供住宿）|北京骏嘉财通科技有限公司|北京-东城区|4.5-6千/月|06-12|民营公司  |  500-1000人  |  计算机软件金融/投资/证券||公司地址：北京市东城区广渠门(邮编：100022)
电气工程师（海外市场）|福州富昌维控电子科技有限公司|福州|0.4-1万/月|06-12|民营公司  |  50-150人  |  仪器仪表/工业自动化电子技术/半导体/集成电路||公司地址：福州软件园E区10栋3-4楼(邮编：350001)
企业销售顾问（互联网信息平台+快晋升+海外游）|北京瑞达恒建筑咨询有限公司上海分公司|上海-黄浦区|0.7-1.4万/月|06-12|民营公司  |  1000-5000人  |  互联网/电子商务专业服务(咨询、人力资源、财会)||公司地址：上海市黄浦区延安东路550号海洋大厦807-815室(邮编：200000)
客户专员（优秀应届毕业生亦可）（海外平台类）|福州天盟数码有限公司|福州|2.5-4千/月|06-12|上市公司  |  1000-5000人  |  网络游戏||公司地址：福建省福州市晋安区金鸡山路20号(邮编：350013)
海外分销|广州乐竔商贸有限公司|广州-荔湾区|6-8千/月|06-12|ÃñÓª¹«Ë¾  |  ÉÙÓÚ50ÈË  |  »¥ÁªÍø/µç×ÓÉÌÎñÅú·¢/ÁãÊÛ||¹«Ë¾µØÖ·£ºÀóÍåÇø»¨µØ´óµÀÖÐ51ºÅ·¼´å¿ÍÔËÕ¾¿ÍÔË´óÂ¥Îå²ã8506(ÓÊ±à£º510000)
海外销售工程师|奥斯佳材料科技（上海）有限公司|苏州|4-8千/月|06-12|外资（非欧美）  |  50-150人  |  石油/化工/矿产/地质||公司地址：上海市松江工业区松胜路1218号(邮编：201600)
金融留学生（有海外留学经历、金融专业优先）|亚冠投资咨询（广州）有限公司|广州-天河区|1.5-2万/月|06-12|ÃñÓª¹«Ë¾  |  500-1000ÈË  |  ½ðÈÚ/Í¶×Ê/Ö¤È¯×¨Òµ·þÎñ(×ÉÑ¯¡¢ÈËÁ¦×ÊÔ´¡¢²Æ»á)||¹«Ë¾µØÖ·£ºÌìºÓÇøÌìºÓ±±Â·183ºÅ´ó¶¼»á¹ã³¡1101-1105(ÓÊ±à£º510000)
私募基金管理培训生/海外背景优先/多元化发展|金海棠资产管理有限公司|上海-虹口区|4-6千/月|06-12|民营公司  |  150-500人  |  金融/投资/证券||公司地址：虹口区武进路190号虹口SOHO33楼(邮编：200080)
海外销售/销售/销售代表/海运销售|杭州越华国际货运代理有限公司上海分公司|上海|0.8-1万/月|06-12|民营公司  |  50-150人  |  贸易/进出口交通/运输/物流||公司地址：四平路773号金大地商务楼811室(邮编：200086)
海外销售经理|上海佳翰国际物流有限公司|上海-虹口区|0.6-1万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：四平路188号商贸大厦1701室(邮编：200086)
