qc_job_name|qc_job_desc|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
海外客服（包住宿+双休）|大专招聘若干人06-26发布英语熟练带薪年假五险一金节日福利周末双休餐饮补贴定期体检员工旅游包住宿加班补贴|宁波裕辉德成国际物流有限公司|宁波-江东区|6-8千/月|06-26|民营公司  |  少于50人  |  交通/运输/物流|宁波裕辉德成国际物流有限公司是分属于宁波美航物流有限公司下的子公司，于今年2016年刚新成立，享受一切总公司资源且独立运营。专业做欧洲地中黑黑海相关海运空运运输，并提供相关海外清关，仓储，拖车等一系列物流链服务。由于业务不断的扩大，需要大量人才加入，壮大公司。而宁波美航物流有限公司是国家商务批准的一级货运代理，并取得交通部无船承运人(NVOCC)资格。经过10多年的发展，分公司覆盖中国各大基本港，如：上海、宁波、青岛、厦门、深圳、义乌、广州。国外分公司：非洲尼日利亚（lagos），东欧罗马尼亚，北美美国（LA,NEWYORK）美航不仅能提供起运港的订舱、清关、内陆等服务，也能提供DDU/DDP目的港的清关，内拖，仓储等一系列的优质高效服务。宁波美航尼日利亚分公司，成功合并了一家LAGOS当地经营多年的清关行，合资成立了美行控股的清关公司RYANOBILOGISTICSNIGERIALTD.共同开发经营有LAGOS到中国各大港口的出口。并且在意大利，德国等地都设有相关办事点。我们裕辉德成专注于欧洲地中黑黑海等相关海外物流业务拓展，有意培养相关优秀人。我们美航大家庭期待优秀人才的加入。|公司地址：恒富大厦2号楼801(邮编：315000)
海外院校联系助理 School Contact|无工作经验本科招聘3人06-26发布英语熟练|上海必益文化发展有限公司|上海-静安区|6-8千/月|06-26|外资（欧美）  |  150-500人  |  教育/培训/院校|beeducationwasfoundedin2003,theheadquarterislocatedinshanghai,andtherearebranchesinbeijing,chengduandshenzhen.wehavemorethan100excellentandtalentedemployees.beoffersasuiteofprograms,allofwhichsharethesamecorevaluesofintegrity,expertise,andaspirationforexcellence.ourprogramsaredesignedtocomplementeachotherandfocusonofferingwaysforchinesestudentstoaccessinternationaleducation.educationconsultingandsummerprogramsbeeducationconsultinghelpsstudentsaccesstotopinternationalschoolsabroad.inaddition,beeducationconsultingprovidesancillaryservices,includingstudentassessment,personalstatementcounseling,andprogresstracking.beoperatesproprietarysummerprogramswhicharehostedattopschools,colleges,anduniversities,includingharvard,mit,etoncollege,andcharterhouse.oxfordinternationalcollegesofchinabedevelopsandmanagesoxfordinternationalcollegesofchina(oic).theseexclusiveenglish-languageboardinghighschoolsareaimedatchinesenationals.oicoffersarigorousbritisha-levelscurriculumandaimstoplacegraduatesintotopenglish-languageuniversitiesthroughouttheworld.oicimmersesstudentsininternationaleducationandpreparesthemforlifeoverseas.schoolguidebehasthecooperationwithhurunwiththeinternationaleducationguidesthatareconsideredtobetheauthoritativesourceforinformationaboutforeignschools,colleges,anduniversities.inaddition,theschoolsguidesorganizeeducationalconferencesandlecturespromotinginternationaleducation.必益教育（www.behk.org）创建于2003年，总部位于上海。必益教育希望通过公司的努力来帮助中国学生实现在英国顶尖名校学习的梦想。秉承英格兰著名学府几百年的传统，必益教育与英国牛津国际公学建立了合作关系，牛津国际公学提供给未来中国领导者的是最好的英式教育。将英国的igcse课程和a-level课程引进中国的牛津国际公学校园，创办了牛津国际公学成都学校(www.chengduoic.com)和常州学校(www.czoic.com)。牛津国际公学提供不同于传统教育的、严谨的并且得到国际认可的英国a-level和igcse课程，让中国品学兼优的学生不出国门也能接受英国先进的教育理念和完善的学习环境，同时注重批判性思维和创意，不仅为将来考取世界***的大学做好准备，更为自己未来的人生做好充分的准备！牛津国际公学在挑战学生不断提升学业成绩的同时，积极发展他们的个性，着力培养学生独立、坚韧、自信等品质，这些对学生将来在世界***大学获得成功至关重要。通过对于学生独立性、自信心、创造力以及领导能力的培养，让我们的学生为成为未来中国商界、学术界及政界的明日之星。同时，必益教育在北、天津、成都、深圳和牛津等地开设了多家分公司。公司的发展壮大将让我们更好的服务中国的青少年，帮助他们在这个全球一体化的时代增强个人能力。在过去的11年里，我们取得了意想不到的成功，让众多中国学生顺利进入了英国和美国的中学与大学。每天，必益教育各个分公司的资深客户经理们都在为来自各个地方的学生和家长解答教育咨询的相关问题。我们为每个学生提供资深的咨询服务，并帮助他们完善个人学习计划。就进入国外顶尖寄宿学校和大学的学生人数而言，我们是做得最好的。我们拥有60多位老师，不仅可以对学生展开教学，而且能为他们参加即使是全球要求最高的面试与考试提供细心指导。必益教育更携手胡润百富创办了《名校指南》系列丛书，涵盖了英国、美国、瑞士、加拿大和新加坡的各类名校。该丛书旨在帮助那些考虑出国读书的学生深入了解他们面临的选择并让其对各国顶尖学校的生活有所认识。|公司地址：上海市静安区长寿路1111号悦达889,9楼02A室(邮编：200040)
海外销售|1年经验本科招聘1人06-26发布英语良好周末双休带薪年假节日福利餐饮补贴商业保险员工旅游五险一金|北京赛迈特科技有限公司|北京|6-8千/月|06-26|民营公司  |  50-150人  |  贸易/进出口原材料和加工|SINOMETALGROUP(www.sinometalgroup.com.cn)成立于2011年5月，公司主营业务为黑色金属和有色金属板卷的加工，生产，海外销售以及相关联产品的国际出口贸易，在江苏，河南等地有实体工厂或控股工厂，产品销往世界上30多个国家，年销售额接近2亿元人民币；公司在北京、香港、郑州、广州、苏州等地均设有办事处或分公司，在东南亚，非洲和美国当地有仓库和自营销售渠道。 公司承诺将为员工提供优于同行业人士的待遇；舒适、宽松、自由的办公环境；以及完善的各项社会保险和商业附加保险。 我们将真诚期待有志之士的加盟与合作，携手共同创造美好明天！公司福利待遇：五险一金、年度体检、每周体育活动、商业保险-补充医疗保险和员工子女险、过节费、生日礼券、年终奖、员工旅游及各种培训。 WithtotalassetofUSD350millionandsubsidiariesinBeijing,Guangzhou,Zhengzhou,SuzhouandHongKong,SinoMetalGrouphas5subsidiarycompanies,whichareinvolvedinthebusinessofaluminiumcoil/sheetproduction,coatingofaluminiumcoilandsteelcoil,GIandAluzincproduction,distributionofaluminiumcoil/sheet,steelcoilandstainlesssteelsheet/coil,andinternationalbusiness/investment.Ourmainproductsare:AluminiumCoil/Sheet,CoatedAluminiumcoil/sheet,GI(HotDipGalvanizedSteelcoil),Aluzincsteelcoil,PPGI(Pre-paintedGalvanizedsteelcoil),PPAZ(Pre-paintedalu-zinccoatedsteelcoil),stainlesssteelcoil/sheet.Wesincerelywelcomeyoualltojoinustocreateabrightandfantasticfuture!|公司地址：大兴区金星西路5号绿地中央广场A座(邮编：102627)
海外房产投资顾问（无锡）|3-4年经验大专招聘3人06-26发布英语良好|澳信集团|无锡-崇安区|0.8-1万/月|06-26|外资（非欧美）  |  500-1000人  |  金融/投资/证券房地产|    深圳市澳信投资顾问有限公司，在澳大利亚悉尼创立，是全球领先的海外房产、移民留学、财富管理专业服务机构。在近二十年的发展时间里，澳信始终秉持“以客户为本”的服务宗旨，发展形成集房屋买卖、移民留学、财富管理、金融贷款、租务管理等多元化一站式服务体系。    目前，澳信Ausin在澳大利亚、新西兰、英国、美国以及中国共设有20多家直属分公司，覆盖悉尼、墨尔本、布里斯班、奥克兰、伦敦、洛杉矶和中国深圳（中国区总部）、上海、北京、广州、杭州、南京、苏州、无锡、宁波、昆明、长沙、西安、成都、青岛及合肥等地区。    公司与海外30多家优质房地产开发商建立长期战略联盟，共同以深圳、上海为中心，在全中国范围内开展海外不动产的投资业务，与海外各大银行、知名律师行建立了紧密合作，致力于为中国高端客户提供海外不动产置业、投资、移民安家、留学自住一站式尊贵VIP服务！竞争优势公司规模中国海外地产服务商行业风向标战略联盟30家优质开发商战略联盟，澳洲品质地产中国权威品牌方案专家提供澳洲置业、金融投资、移民留学一体化咨询与服务全面服务提供从购房到贷款、租房管理与转售的全流程VIP服务全球总部：澳大利亚悉尼：Level10,280GeorgeStreet,Sydney,NSW,2000中国深圳（中国区总部）：深圳市福田区益田路卓越时代广场4204-05上海：上海市黄浦区延安东路222号外滩中心49层北京：朝阳区东三环中路5号财富金融中心（FFC)3001-04广州：天河区珠江东路16号高德广场四期4201室杭州：杭州市西湖区世贸丽晶城欧美中心一号楼A区601-02南京：南京市汉中路2号金陵商务楼37B苏州：苏州工业园区华池街88号晋合广场2号1503无锡：无锡市崇安区人民中路139号恒隆广场办公楼4804宁波：宁波市海曙区车轿街69号恒泰大厦903昆明：昆明市五华区三市街柏联广场A座1001A长沙：长沙市开福区湘江中路589号万达总部国际C3座1706西安：西安市雁塔区二环南路西段64号凯德广场1107成都：成都市锦江区红星路3号国际金融中心2502青岛：青岛市北区延吉路76号中海大厦7层03-04单元756中国区人力资源中心上海：上海市黄浦区延安东路222号外滩中心43层深圳：深圳市福田区益田路卓越时代广场4204-05澳信注重在中国本土的卓越发展，吸引和造就了诸多高素质人才，目前，中国区员工已超过澳信全球总人数的70%澳信职业环境视野国际化广阔视野培训高产的培训复制体系收入富有竞争力的薪资体系快乐正能量和愉悦的年轻团队激励海外旅游考察等高福利归属高凝聚力的企业文化与合作氛围应聘方式：诚邀您发送简历到hr@ausingroup.com，邮件主题请注明应聘城市与职位名称|公司地址：深圳市福田区益田路卓越时代广场4204-05(邮编：200002)
海外学习项目渠道负责人|2年经验大专招聘4人06-26发布五险一金员工旅游出国机会通讯补贴绩效奖金定期体检专业培训|东方国际教育交流中心湖北分中心|武汉|8-10万/年|06-26|民营公司  |  150-500人  |  专业服务(咨询、人力资源、财会)教育/培训/院校|东方国际教育交流中心（以下简称“东方国际”）隶属教育部国家留学基金管理委员会，是2000年首批经国家教育部和公安部批准（教外综资认字［2000］2号）、在国家工商行政管理局注册，从事自费出国留学服务的、具有在全国范围内开展业务活动的权威留学服务机构。具备完善的项目管理和服务体制，其宗旨是“服务社会、培养人才”。作为国际教育交流和服务机构，东方国际始终坚持国家的教育方针和政策，严格按照国家的有关规定，实行高标准、规范化的管理和专业运作。为了提高工作质量，东方国际聘请了一批国内外知名的专家、学者作为顾问，沿用了严谨、规范的专家评审制度，为奖学金项目及国外合作伙伴选派优秀人员；东方国际还十分重视在建立合作项目时，积极维护我国公民的合法权益。到目前为止，东方国际已与国外五十多个教育机构、组织和知名大学建立了广泛的交流与合作关系，如法国教育国际协作总局、法国工程技术大学集团、丹麦大学校长联合会、澳大利亚教育国际开发署，以及美国、加拿大、英国、法国、荷兰、丹麦、澳大利亚、新西兰、波兰、意大利、新加坡、马来西亚、日本、韩国、乌克兰、俄罗斯等二十多个国家的百余所大学。主营业务提供自费出国留学和来华留学服务；受委托管理部分自费出国和留学奖学金项目；为国内外教育机构开展中外合作学历和非学历办学项目；组织中、外青少年各类交流活动；在国内外举办各类教育展及国际型学术研讨会；为国家部委、地方政府、企事业单位、大中学校长、教师和有关机构人员组织国内外非学历培训。发展动态为发展湖北教育事业，为湖北培养更多国际优秀人才，东方国际教育交流中心于2003年在武汉设立湖北分中心，并与武汉大学、华中科技大学、江汉大学、中南财经政法大学、中国地质大学等众多重点高等学府合作，从国外引进优质留学项目，为湖北学子量身定制了一系列最适合他们的留学计划，并在实际操作中灵活运用。分中心拥有专业的队伍，他们中80%以上都是从海外留学回来，他们不但拥有专业的留学咨询服务经验和签证办理经验，同时还有丰富的国外生活经历，将为您的留学生涯提供更全面更快捷的服务。www.cscdf.orgwww.dfhb.org联系人员：邵老师联系电话：(027)59807979|公司地址：武汉市武昌区中南路中建广场B座17楼(邮编：430071)
海外留学生|±¾¿ÆÕÐÆ¸10ÈË06-26·¢²¼ÎåÏÕÒ»½ð²¹³äÒ½ÁÆ±£ÏÕ²¹³ä¹«»ý½ðÔ±¹¤ÂÃÓÎ¼¨Ð§½±½ðÄêÖÕ½±½ð¶¨ÆÚÌå¼ì³ö¹ú»ú»áµ¯ÐÔ¹¤×÷×¨ÒµÅàÑµ|广州揽富投资咨询有限公司|广州|1-1.5万/月|06-26|ÃñÓª¹«Ë¾  |  150-500ÈË  |  ½ðÈÚ/Í¶×Ê/Ö¤È¯¹«¹Ø/ÊÐ³¡ÍÆ¹ã/»áÕ¹|   ¹«Ë¾ÒÔ¾«Éî½ðÈÚÍ¶×Ê·ÖÎö¼¼ÊõÎª»ù´¡£¬ÎªÈ«Çò½ðÈÚ²úÆ·Í¶×ÊÕßÌá¹©×ÊÑ¶ÒµÎñ¡¢×Ê½ðÔöÖµ¹ÜÀí¼Æ»®¡¢¸öÈË¼°ÆóÒµÍ¶×ÊÀí²ÆµÈ×¨ÒµÐÔ·þÎñ¡£Ö÷ÓªÒµÎñ·¶Î§£º°üÀ¨»ú¹¹Í¶×ÊÕß¡¢×ÔÈ»ÈËÍ¶×ÊÕßÔÚ¾­¼Ã»î¶¯ÖÐ£¬Éæ¼°µÄ¹É¶«È¨Òæ¡¢ÊµÌå¾­¼ÃÏîÄ¿¡¢½ðÈÚÀí²Æ²úÆ·µÈÎ´À´¼Û¸ñ×ßÊÆÅÐ¶ÏµÄ¼¼ÊõÖ¸µ¼£»»òÎ¯ÍÐÍ¶×ÊÀí²Æ£¬Èç¹ó½ðÊô»Æ½ð¡¢°×Òø£»½ø³ö¿ÚÃ³Ò×»î¶¯ÖÐµÄ¹ú¼Ê»õ±ÒÍâ»ã½áËãµÈÁìÓò£»¾­¼ÃÐÅÏ¢×ÉÑ¯¡¢Í¶×Ê¼¼ÇÉ·ÖÏíºÍÖ¸µ¼£»ÐÐÒµÊÐ³¡¹æÂÉ·ÖÎö¡¢²úÆ·¼Û¸ñ×ßÊÆ·ÖÎöµÈ²¿·ÖµÈÌá¹©ÐÅÏ¢×ÉÑ¯ºÍÃñÊÂ´úÀí·þÎñ£»Í¬Ê±ÔÚÉç»áÃñÊÂ¡¢¾­¼Ã»î¶¯ÖÐÒòÕ®Îñ»ò¾­Óª²»ÉÆËù²úÉúÃ¬¶Ü»òÀ§ÄÑ£¬Ìá¹©·¨ÎñÔ®Öú¡¢·¨Îñ×ÉÑ¯µÈÒµÎñ£»±¾¹«Ë¾×¨Òµ¼¼ÊõÐÛºñ£¬·þÎñ¹¦ÄÜÇ¿´ó£»Ö÷Òª°ïÖú¾­¼Ã»î¶¯Ö÷Ìå£¬ÕýÈ·ÈÏÊ¶ÊÐ³¡£¬°ÑÎÕ»úÓö£¬³É¹¦ÊµÏÖÍ¶×ÊÓ¯Àû£»°ïÖúÆóÒµ×ß³öÀ§¾³ÕûºÏÆóÒµ×Ê²úµÈ·þÎñ¡£ÎÒÃÇµÄ·þÎñÖÖÀà·±¶à£¬Îª¿Í»§Ìá¹©»·Çò½ðÈÚÊÐ³¡µÄÍâ»ã¡¢»Æ½ð¡¢»ù½ðºÍ¹ÉÆ±µÈµÄÒ»Õ¾Ê½½ðÈÚÀí²Æ×ÉÑ¯·þÎñ¡¢±¾¹«Ë¾ÈÚºÏÁËÒ»ÅúÑ§Ê¶¹ã²©¡¢ÑÏ½÷ÎñÊµ¡¢¸ßËØÖÊµÄ×¨ÒµÈËÔ±ºÍÒ»Ö§ÓÅÐãµÄ¹ÜÀíÍÅ¶Ó£¬ÖÂÁ¦ÓÚ×·ÇóÍ¶×ÊÊÕÒæµÄÎÈ¶¨Ôö³¤¡£Í¨¹ý½¨Á¢×¨Òµ»¯¡¢¿ÆÑ§»¯µÄÍ¶×ÊÊÕÒæÆÀ¹ÀÌåÏµ£¬ÎªÊÐ³¡·¢¾òÓÅÐãµÄÍ¶×Ê¹ÜÀíÈË²Å£¬Îª¹ã´óÍ¶×ÊÕßÌá¹©¸öÐÔ»¯¡¢×¨Òµ»¯µÄÓÅÖÊÍ¶×Ê×ÉÑ¯·þÎñ£¬ÎªÃ¿Ò»Î»¿Í»§Á¿Ìå²ÃÒÂ¡£Í¶×Ê×ÜÓÐ·çÏÕ£¬ÖÇÕßÇ§ÂÇ±ØÓÐÒ»Ê§£¬ÈËÎÞÔ¶ÂÇ±ØÓÐ½üÓÇ£¬ÎÒÃÇµÄÊ¹Ãü¾ÍÊÇÎª¿Í»§²¹¡°Ê§¡±³ý¡°ÓÇ¡±£¬ÒÔ¿Í»§µÄ×î´óÀûÒæÎªÒÀ¹é¡£×·Çó×¿Ô½£¬²»¶ÏÎª¿Í»§Ìá¹©¸ßÆ·ÙµÄ·þ„Õ¼°¸ß×¨Òµ¶ÈµÄ×ÉÑ¯¡£×÷ÎªÒ»¼ÒÔÚÍ¶×ÊÁìÓò¾ÓÓÚÁìÏÈµØÎ»£¬²»¶Ï´´ÐÂ£¬ÈñÒâ½øÈ¡µÄ¹«Ë¾£¬ÎÒÃÇ°Ñ¹ú¼ÊÉÏµÄÏÈ½øÀíÄîÓëÖÐ¹ú¾ßÌåÊµ¼ÊÏà½áºÏ£¬ÔÚÍ¶×Ê¹ÜÀí¡¢ÆóÒµ¹ËÎÊµÈÏÈ·æÁìÓò¶ÀÊ÷Ò»ÖÄ£¬ÒÔ°ÁÈËµÄÒµ¼¨»ØÀ¡¹ã´ó¿Í»§¡£|¹«Ë¾µØÖ·£º¹ãÖÝÊÐÌìºÓÇøÌìºÓÂ·230ºÅÍòÁâ¹ú¼ÊÖÐÐÄ1801-05(ÓÊ±à£º510000)
票务主管（急招海外）|3-4年经验大专招聘3人06-26发布英语精通市场营销旅游管理|中联国创控股集团有限公司|异地招聘|1-1.5万/月|06-26|民营公司  |  150-500人  |  建筑/建材/工程多元化业务集团公司|中联国创集团（简称“中联国创”）是在原上海天昶建设集团的基础上于2015年7月组建的一家集市政工程、票务旅游、电子商务、国际贸易、融资租赁、生态农业、文化交流等多方面业务为一体的投资经营管理型集团公司。公司总部设在中国上海。中联国创在未来的发展中将秉持“厚道泽众，良行致远”的创业理念，坚持“以人为本，求实创新”的经营理念，共创“和者筑善，卓越于求”的企业价值观，始终以“精益求精，铸造品质”为企业使命，坚定走“人才优先、质量优先、科学管理”的长期发展道路，致力于打造成为一个多元化发展，一流的国际化的集团公司。|公司地址：青浦区诸光路1888号(邮编：201702)
外贸销售/高薪双休/海外销售/外贸业务员/外贸跟单员|2年经验大专招聘3人06-26发布英语良好五险一金员工旅游专业培训出国机会绩效奖金周末双休带薪年假节日福利每年多次调薪团队聚餐|天津市中通联信科技有限公司|天津-河西区|3.5-6千/月|06-26|民营公司  |  少于50人  |  仪器仪表/工业自动化贸易/进出口|公司简介：中通联信是通信仪器设备供应商，成立于2004年，现为富士康、伟创力、OPPO、步步高、比亚迪、联想、华为等世界名企的认证供应商。现在天津、深圳等地设立公司及办事处。公司产品：代理惠普、日本安立、西门子等品牌仪器设备，均为标准化产品，易学易会。公司提供带薪培训，有无产品经验均可短期内精通。公司客户群：现有800多家国内客户，及500多家海外客户。有多次续约批量应用的老客户群体。特别福利：3月底前新入职员工-外贸采购员/外贸业务员，公司每人分配客户资源，客户包括：1、通讯制造业：包括富士康、比亚迪、联想、华为、康佳、步步高等众多知名企业2、技术服务业：中国计量院、工信部五所、电信研究院、MTK、展讯等多家科研开发单位。3、军工企业：贵州振华、北京、西北等地区的军队研究所等。4、国外客户：涵盖欧美地区、亚洲地区等多区域通讯测试仪器设备渠道商、终端客户。备注：如有驾照请务必在投递的简历中标明，我们将优先考虑且给予岗位津贴办公地点：天津总公司：河西区古海道与台儿庄南路交口鼎润大厦2-2-1201交通便利：公交：毗邻光华桥/凯德MALL（挂甲寺站）、土城站地铁：一号线土城站深圳分公司：福田区深南中路新闻大厦2号楼204B（大剧院地铁口）交通便利：地铁大剧院站B出口，深圳新闻大厦附近有33个公交站，分别是新闻大厦、市委(153米)、大剧院(211米)、红岭南路(2)(212米)、巴丁街(249米)、红岭南路(1)(264米)招聘岗位：一、外贸采购专员/助理类岗位职责：1、负责国际、国内采购；2、负责与国内外客户商务信函往来、进行业务联系及外商接待等；3、参加商务谈判，负责采购合同的制定、货运跟单、货物验收、联络维修等系列跟单事宜；4、整理及修订采购部门制度及流程、文档汇总及管理，完成部门日常事务等。任职要求：1、本科学历，22-30岁，优秀应届毕业生优先；2、专业不限，国际贸易或商务英语专业优先，英语四级及以上，有较强的业务领悟能力及沟通能力；3、条理性强，严格按照公司流程做好本职工作，有良好的部门协调能力。4、有相关工作经验者优先考虑，有开发和联系国外客户经验者优先。二、外贸业务/助理类岗位职责：1、熟悉外销流程；2、熟练使用商务平台，如：B2B平台、海外论坛、国外相关行业网站等；3、熟悉国贸知识，英语商务信函使用熟练，熟悉询盘还盘技巧；4、参加商务谈判，负责海外订单及合同的制定、跟踪与执行；5、自主开发国外客户，有能力维护客户关系。任职要求：1、国际贸易或商务英语、市场营销等相关专业，英语听、说读写能力强，英语四级及以上；2、有较强的业务领悟能力、沟通能力和客户维护能力；3、有一年以上外贸业务或海外营销经验者优先，应届优秀毕业生优先，男女不限。任职资格：1、口齿清楚，语言表述条理清晰、逻辑性强，沟通能力良好；2、对外贸业务有较高的热情，愿意在工作中付出努力，对公司绝对忠诚；3、具备较强的学习能力和优秀的电话、面访沟通能力；4、性格坚韧，思维敏捷，具备良好的应变能力和承压能力；遇到困难，能够独立的分析及解决问题，现场反应机敏，应变能力强；5、有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度。薪资待遇：1、底薪2.5K-4K(按岗位定级)+提成+绩效奖金+社保五险+双休2、带薪培训3、带薪年假+法定节假日+员工福利个人发展：--入职专享公司系统的培训体系新人时期：详细的产品知识的介绍+国贸知识及外贸函电技能培训发展时期：外销技能强化+处理工作中问题能力+管理知识培训--晋升渠道商务类：公司商务管理层来源于内部优秀商务人员1、采购专员―采购主管―分公司采购经理2、外贸业务员―外贸主管―分公司外贸经理3、销售类：公司销售管理层来源于内部优秀销售人员   销售代表―销售主管―销售经理-分公司总经理4、跟单助理―客户主管―客户经理―办公室主任备注：如有驾照请务必在投递的简历中标明，我们将优先考虑且给予岗位津贴。|公司地址：天津市河西区台儿庄南路129号鼎润大厦2-2-1201(邮编：300210)
外贸销售经理 外贸业务经理 海外销售经理|本科招聘2人06-26发布英语熟练|深圳市亚声威格科技有限公司|深圳-龙岗区|0.8-1.5万/月|06-26|民营公司  |  150-500人  |  贸易/进出口互联网/电子商务|深圳市亚声威格科技有限公司成立于2007年，是一家专业的B2C跨境电子商务公司。主要经营产品涵盖电脑，手机，数码相机，安防，配件，服装，饰品等近500个品类，40000多个产品。公司自07年成立以来，凭借着专业、及时、优质的服务，赢得了来自北美洲、南美洲、欧洲、非洲等全球客户的一致好评。本公司致力于发掘新产品，新市场，不断为客户创造价值，竭诚为客人提供最优质的产品、服务，和最好的解决方案，为打造最专业的外贸电子商务公司而不断努力。全体成员均为充满活力的80、90年轻团队，公司拥有现代化、人性化的企业管理模式。下设产品开发部、运营部、采购部、仓库、质量检测部、人力资源部、IT部、财务部等部门。中文网站：http://www.yswg.com.cn/我们知道，您从来不缺少工作，您寻找的是携手相依的归宿；我们了解，您从来不缺少机会，您寻找的是施展才华的舞台！我们明白，人才不是招来的，而是吸引来的！如果你的家境不错如果你过于关注上班时间如果你只是想要一份稳定工作对不起这不是你要的工作我们只是希望把工作给需要的人如果你有良好的基础素质,能够理解我们的理念如果你有充分的激情,年轻则是你的优势如果你对未来有美好的期望愿意通过努力改变自己的命运愿意不断学习和成长有无经验均可我们将于您一起,规划你的职业生涯,实现我们共同的梦想!公司正处在快速发展期，欢迎勤奋，聪明，有创造力,不浮躁的队友加入，共同进步，共同发展。|公司地址：深圳市龙岗区坂田五和大道山海商业广场C栋201室(邮编：518000)
谷歌海外推广|2年经验大专招聘2人06-26发布英语熟练普通话良好计算机科学与技术五险一金餐饮补贴绩效奖金年终奖金员工旅游员工生日礼物生日礼物节假日福利团队建设|广州依琪贸易有限公司|广州|7.5-9千/月|06-26|民营公司  |  50-150人  |  贸易/进出口|广州依琪贸易有限公司创立于2010年，专注于外贸电子商务B2C国际批发平台。于2016年成立旗下货运子公司：广州利友货运代理有限公司。依琪贸易有限公司以创新的商业模式，领先的网络营销技术和完善的供应链体系，在接近2年的时间里赢得了来自世界各地一百多个国家数以万记的访问者。依琪是一个跟“温馨”分不开的大家庭，从互帮互助的团队精神，年轻有为的创新思想，到温暖亲切的同事关系，舒适宜人的办公环境无不与温馨相关，再加上强大的80后的员工团队，朝气蓬勃的奋斗精神，简单、自由的沟通方式，一定会给每位员工一个轻松愉快的工作氛围，而你成就的将是一个光荣远大的梦想、一段激情快乐的旅程，和一份受益终生的收获。我们的理念是：独立之精神，自由之思想。公司自创立以来，一直致力于鼓励和激发员工独立思考的精神和自由创新的能力。我们坚信每一位员工都是可以培养为人才的，我们承诺给每一位员工以广阔的发展平台和晋升空间。依琪的人才观是：始终遵循以人为本的经营理念，每一位员工在这里都将受到重视与培养，我们期望在这个团队中的每一位员工都能保持良好的个人品德并在技术水平和业务能力上得到不断的提高，我们强调员工的能力与经验，更注重吸纳德才兼备的专业人士加盟为我们的事业锦上添花。我们坚信因为每一位优秀的你的加入，都可能为我们带来无限商机，为此我们愿建立一种双赢的管理运营机制，让我们一起来共同创造事业发展的平台。依琪贸易有限公司成长的过程，就是服务客户并和客户一起不断成功的过程！我们用心、努力作好每一件事，满怀信心迎接每一次挑战。我们寻觅那些卓然不群的开拓者、同样期待那些精益求精的坚守者，我们正求贤若渴，我们期待你的加入！|公司地址：广州市白云区沙太北路211号新苑写字楼B325(邮编：510515)
