job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
IT硬件销售（包住宿）|5000-10000|上海-普陀区|CC701714023|上海时伦信息技术有限公司|[]|[]|['http://www.deshine.com.cn']|['计算机硬件']|['普陀区真南路1428号致盛大厦北楼D座1105D室']|['上海时伦信息技术有限公司成立于2008年8月，是一家专门从事计算机硬件销售及网络平台建设与维护的IT企业。公司注册资金500万元人民币。公司现主营产品为DELL、Huawei、HP、Cisco、3COM、Lenovo等商用产品。尤其在DELL、华为产品方面，拥有非常良好的产品价格优势，与DELL及华为公司合作以来，信誉一直良好。公司拥有超强的销售网络体系，稳定的商品供货渠道，优秀的团队组织。基于这一优势，公司的业务迅速拓展，现已成为多家国内外知名企事业单位的优秀硬件供应商。','\xa0\xa0\xa0\xa0上海时伦自成立之初就建立了良好的客户关系维护系统和售后服务支持系统。承诺以真品实价参与市场竞争。积极进行开放性合作，现与上海、江苏、浙江等华东地区众多强势供应商建立了战备合作伙伴关系。在激烈竞争的市场环境中，上海时伦本着“顾客致上、诚信务实、服务第一”的企业理念；强化以优质的产品和周到的服务取信于社会。现业务范围已覆盖整个华东地区。','上海时伦信息技术有限公司目前拥有员工30多人，其中80%的员工拥有大专以上学历，20%的员工拥有本科以上学历。技术售后服务是公司重大优势，2012年以来公司承揽了上海戴鑫信息技术有限公司所有的技术类工作。','2010年5月，上海时伦信息技术有限公司正式成为戴尔第一批“戴尔行业授权合作伙伴”和“戴尔中国华东地区服务器产品总经销商”。','2015年9月，成都时伦信息技术有限公司正式成立，现有人员25人。','2016年10月，济南时伦信息技术有限公司正式成立，现有人员20人。']
系统工程师|6001-8000|上海|CC750840281|上海纬那信息技术有限公司|[]|[]|[]|['上海市普陀区交通路2447号（德必园）1号楼212室']|[]|[]
网络运维工程师|10001-15000|上海|CC344810436|上海欢旅金融信息服务有限公司|[]|[]|['http://www.huanlvjinfu.com.cn']|['互联网/电子商务,计算机软件']|['上海浦东新区峨山路633号博硕创意园A栋5楼']|['\xa0\xa0\xa0\xa0\xa0欢旅金融是一家互联网消费金融平台，致力于为普通个人金融消费者提供更加专业、便捷、全面的服务。','\xa0\xa0\xa0\xa0\xa0相较于传统消费金融，互联网消费金融每一笔都是用在个人消费的小额贷款，与银行比放款更快，审批流程更简单，用户通过平台在线申请，平台通过审核，将贷款资质提交至银行，银行放款，用户进行消费，最快一小时就可通过审核获取额度。在线下付款后，平台会基于个人购买行为、偏好等，推荐相关消费产品。']
高薪诚聘专利代理人（上海）|15001-20000|上海|CC135049547|北京同立钧成知识产权代理有限公司|[]|[]|['http://www.infopatent.com.cn/']|['专业服务/咨询(财会/法律/人力资源等),电子技术/半导体/集成电路,仪器仪表及工业自动化,互联网/电子商务']|['北京市海淀区西直门北大街32号']|['\xa0\xa0\xa0','成立于2001年，是一家在业界具有较高专业声誉的涉外专利代理机构，各种业务均位于本行业前列。旗下还包括北京华意律师事务所，隆德国际知识产权研究中心，共同组成三位一体的知识产权集团。','\xa0\xa0\xa0总部设在北京，西安、美国洛杉矶设有分公司。','\xa0\xa0\xa0我们所从事的专业服务是：帮助国内外各领域的优秀研发团队将其创新成果申请国内外专利。包括但不限于，与研发人员进行专利技术的挖掘、文件的撰写和翻译；专利纠纷的咨询与代理；专利策略的规划与运作；知识产权课题的研究等。','\xa0\xa0\xa0我们所服务的客户为：国内外知名的超大型企业、跨国企业、上市公司。','\xa0\xa0\xa0我们成功地代理了多个行业有重大影响的专利纠纷案件，更显著的业绩还日渐不断地增加。','我们拥有一支由资深专利代理人、司法鉴定专家和专业律师组成的优秀团队。他们多拥有博士、硕士、双学位等相关专业技术学历，且多具有研发经历，涉及通信、计算机、电子、自动化等技术领域。','\xa0\xa0\xa0我们热诚期待新同事的加盟。','\xa0\xa0\xa0我们为您提供舒适的办公环境，融洽的工作氛围，完善的福利制度保障，希望您快乐的工作。','\xa0\xa0\xa0我们为您提供专业且系统的职业培训，丰富的锻炼机会，协助您尽快地成长，拓展广阔的空间。','\xa0\xa0\xa0我们希望有幸能与您一起随着知识产权这个朝阳行业共同发展，共铸辉煌！']
虚拟化系统集成方案工程师|10001-15000|上海|CC145013492|上海网越信息技术有限公司|[]|[]|['http://www.51weihu.com']|['IT服务(系统/数据/维护),计算机硬件,互联网/电子商务,计算机软件']|['上海闸北区共和新路3088号祥腾财富广场1号楼206A室']|[]
虚拟化系统集成销售经理|10000-20000|上海-静安区|CC145013492|上海网越信息技术有限公司|[]|[]|['http://www.51weihu.com']|['IT服务(系统/数据/维护),计算机硬件,互联网/电子商务,计算机软件']|['上海闸北区共和新路3088号祥腾财富广场1号楼206A室']|[]
大客户经理|15001-20000|上海|CC166275810|无锡先导智能装备股份有限公司|[]|[]|['http://www.leadchina.cn']|['仪器仪表及工业自动化,大型设备/机电设备/重工业']|['无锡新区新锡路20号']|[]
OPL-网络工程师/架构师|8000-16000|上海|CC469173413|上海优刻得信息科技有限公司|[]|[]|['http://www.ucloud.cn']|['互联网/电子商务,计算机软件,IT服务(系统/数据/维护)']|['上海市杨浦区隆昌路619号（城市概念创意园区）10号楼B座']|[]
网络工程师/IT技术支持|6001-8000|上海-浦东新区|CC452559614|上海仁聘管理咨询有限公司|[]|[]|['http://www.job12333.com']|['快速消费品（食品/饮料/烟酒/日化）,计算机软件,贸易/进出口,广告/会展/公关']|['徐汇区中山西路2025号永升大厦21楼2125-2126']|['上海仁聘管理咨询有限公司是上海跃星人力资源有限公司的子公司','人力资源服务许可证：','，主要从事专业的人力资源咨询服务，是一家致力于帮助企业发现人才，招聘人才，对人力资源和人力资本进行整合，以达到企业对人才合理开发、有效利用为目的的','专业服务提供商，公司由行业内的专业资深人士和高级人事顾问组成，为白领人才提供职业规划和求职指导等咨询服务。','仁聘白领人才推荐中心是公司三大事业部之一，是面向个人提供专业服务的白领人才推荐机构，受','家以上的单位委托招聘（外资企业占','，国企','），免面试排队，灵活安排面试时间，接受企业人事小范围面试，获得','以上面试成功概率。','合作的知名企事业单位包括：乐扣乐扣','、万科第一地产、江森自控、中国石化、诺贝尔、利丰集团、奔腾电器、','、施耐德电器、','、荷兰','集团、百联集团、','、马士基（中国）物流、顺丰集团、宝姿、国美电器、国药控股、华信石油、东方艺术中心、京东商城、贝塔斯曼、','、罗门哈斯','、中国青年旅行社、菲仕康眼镜、现代建筑、','、可口可乐、','、江南造船、上海电气集团等。','如果你希望获得更好的工作机会，请电话垂询，或来我部当面咨询：','上海地址：徐汇区中山西路','号永升大厦','楼','；','交通：','地铁','号、','号线、','号线宜山路站','电话：（','）','陈老师','咨询时间：周一至周六：','：','——','：','邮箱：']
Senior SP Network Consultant|面议|上海|CC000613300|埃森哲(中国)有限公司|[]|[]|[]|['上海市']|[]|['','']
sales|25000-34000|上海|CC425912514|衡驰企业管理咨询(上海)有限公司|[]|[]|[]|['上海市浦东新区东方路738号816室']|[]|[]
系统运维工程师|8000-16000|上海|CC433278133|上海宏路数据技术股份有限公司|[]|[]|[]|['上海市虹口区溧阳路735号半岛湾创意园1号楼201室']|[]|[]
网络工程师|8001-10000|上海|CC301137739|上海一米投资管理有限公司|[]|[]|[]|['上海市黄浦区689号海通证券大厦1607室']|[]|['上海一米投资管理有限公司（以下简称“一米投资”）是一家集资产配置、投资，融资为一体的综合性金融信息服务平台。股东为深圳鸿隆投资控股有限公司，广东志龙投资有限公司、旗亿文化传媒（上海）有限公司和上海米穗企业管理合伙企业（有限合伙）。于2015年1月批准成立，注册资金1176.47万元，私有股份制企业。公司经营范围：投资管理，资产管理，投资咨询，实业投资，企业管理咨询，财务咨询（不得从事代理记账），市场营销策划，商务咨询，金融信息服务（不得从事金融业务），接受金融机构委托从事金融信息技术外包，接受金融机构委托从事金融业务流程外包，接受金融机构委托从事金融知识流程外包，从事货物进出口及技术进出口业务。','一米投资的管理团队具有国内外贸易、银行、担保、保险、第三方理财、司法、媒体等多种行业背景。在国内外贸易、商业投资、财务管理及风险控制等方面有着长期丰富的实践经验。','一米投资坚持以客户为中心，秉承独立、客观、公正的原则，运用专业的金融知识体系严格把控投资风险，为客户提供全方位、安全稳健的财富管理及投资，融资方面的金融服务。','易付税是一款由上海一米投资管理有限公司开发、基于全国海关税费电子系统。','整合互联网资产交易平台、资金平台和保险机构等优势资源，通过代表贸易真实性背景的税费数据，彻底解决货款与税费的时间差矛盾，为企业提供一站式、纯信用、无抵押的普惠式金融服务的创新金融产品，帮助企业降低资金占用，实现快速通关，以信用创造财富！','产品网页：http://www.efushui.com/']
Network Engineer|9000-16000|上海|CC457927219|万创网络科技有限公司|[]|[]|[]|['上海']|[]|[]
IT技术项目管理-日语-上海长宁区|8000-12000|上海-长宁区|CC292801039|上海提浜克企业管理有限公司|[]|[]|[]|['上海市杨浦区荆州路334弄108号A区101室']|[]|[]
网络工程师|8001-10000|上海-徐汇区|CC590492229|上海擎昭实业有限公司|[]|[]|[]|[]|[]|[]
网络工程师|8000-15000|上海|CC120946989|汉庭星空（上海）酒店管理有限公司|[]|[]|['http://www.huazhu.com']|['酒店/餐饮']|['上海市虹桥路2266号']|['\xa0\xa0华住酒店集团，是国内一家全品牌的连锁酒店管理集团。自2005年创立以来，华住在短短数年间已经完成全国主要城市的战略布局，并重点在长三角、环渤海湾、珠三角和中西部发达城市形成了密布的酒店网络。2010年3月26日，“华住酒店集团”的前身“汉庭酒店集团”(NASDAQ:HTHT)在纳斯达克成功上市。','2014年，华住酒店集团与雅高酒店集团形成长期战略联盟，共同开辟在华酒店业务,交叉合作后在全球拥有超过4,700万忠诚会员，并使其接触到全球超过5,600家酒店。同时，华住原会员平台正式升级为粉丝平台，“华住会”更名为“好客汇”。','\xa0','目前，华住酒店集团在中国超过280个城市里已经拥有2,000多家自有酒店和40,000多名员工，旗下拥有12个自有酒店品牌：涵盖高端市场的禧玥酒店、美爵酒店、漫心度假酒店，中端和经济型市场的诺富特、美居、全季、星程，宜必思尚品、宜必思、汉庭、怡莱和海友酒店，满足商务和休闲出行的不同需求，并专注于以宾客为中心的服务细节打造和产品技术创新。','如今，以“成为世界级的伟大企业”为愿景的华住酒店集团，在创始人季琦的带领下，已经成为中国发展最快的酒店集团之一，并于2014年推出“华住世界”（HWorld）。作为一个围绕会员而打造的住宿出行生态圈，HWorld将在未来几年融合国内酒店市场，实现中国酒店业史上规模最大的“万店联盟”，实现共荣。围绕住宿这一核心需求，HWorld还将带动娱乐、机票预订、出行、景点等综合性生活平台的打造，成就美好生活。']
(ID58307)网络工程师（大型汽车企业）|10001-15000|上海|CC120123197|RandstadTalent|[]|[]|['http://www.randstad.cn']|['专业服务/咨询(财会/法律/人力资源等)']|['上海市梅园路77号22楼']|['任仕达集团(RandstadGroup)成立于1960年，是全球最大的综合性人力资源服务机构之一，总部位于荷兰阿姆斯特丹。在全球40多个国家和地区设有4700多个分支机构，每天为57万名求职者提供工作岗位。2011年，其全球营业额达到162亿欧元，位列全球财富500强。','任仕达自2005年进入中国市场，总部设在上海，在华北、华东、华南等地区成立了多个分支机构，服务网络覆盖全国100多个一、二线城市，向企业提供包括搜寻与甄选、灵活派遣以及人力资源解决方案在内的全方位人力资源服务。','作为一家充满活力的专业招聘机构，任仕达始终坚持以人为本，不断追求创新。我们寻找才智过人、诚实可靠、胸怀抱负的求职者，把他们推荐给最适合的企业，帮助他们获得最具吸引力的薪酬和工作机会。','无论您是想拓宽职场发展之路，或是寻找正确的职业发展方向，我们的招聘顾问都会随时为您提供服务。','有了我们的协助，美好职业志在必得。','想了解更多详情，请登录任仕达中国网站','，或在新浪微博上','，与我们互动。']
网络工程师|4001-6000|上海|CC244863118|上海捷卫信息科技有限公司|[]|[]|[]|['上海市中山西路1265弄18号湘江大厦1206室']|[]|[]
系统集成（SI）项目经理    薪资可达13K税后|12000-15000|上海-长宁区|CC291388085|上海会坚商务咨询有限公司|[]|[]|['http://www.huijian.biz']|['专业服务/咨询(财会/法律/人力资源等)']|['上海市张扬路400号']|[]
IT工程师|6000-10000|上海|CC660549425|杭州中港科技有限公司|[]|[]|['http://null']|['通信/电信/网络设备,IT服务(系统/数据/维护),计算机软件,计算机硬件']|['新加坡科技园LEO5幢2楼']|['\xa0']
客户经理-华为-上海-年薪12-18w|8001-10000|上海|CC143900599|中建材信息技术股份有限公司|[]|[]|['http://www.cnbmtech.com/']|['计算机硬件,通信/电信运营、增值服务,医疗设备/器械,通信/电信/网络设备']|['北京市海淀区首体南路9#主语商务中心4号楼18层1801']|['\xa0','中建材信息技术股份有限公司','成立于2005年，是中建材集团进出口公司控股的股份制高新技术企业。中建材信息总部位于北京，在广州、上海、成都、沈阳、西安、武汉、南京、深圳、长沙、郑州等三十多个省市设有分支机构，员工人数约500人，年营业额约60亿元人民币。','\xa0','中建材信息技术股份有限公司致力于向行业客户提供安全、可靠、高质量、易扩展的行业解决方案，帮助客户实现信息化管理最佳实践，以满足客户信息化建设不同需求；为合作伙伴提供专业、高效、创新性的渠道增值服务，协助合作伙伴巩固核心竞争力，快速开拓市场，积极应对市场变化。','\xa0','成为中国IT分销业的生力军和提供现代商业运作技术服务的综合服务提供商。','\xa0','关注业界先进的技术和产品，以卓越的经营理念和服务，为客户创造更大的价值。','\xa0','1.持续拓展和强化大市场、大商品、大客户、大品牌的战略合作。','2.关注重点产品、重点市场，创造独特的价值优势。','3.以卓越的解决方案提供、实施和交付，以及“一站式”的产品增值服务能力，赢得客户和合作伙伴的信赖。','\xa0','中建材信息的产品增值分销业务定位于为企业级用户提供国际一流的企业级软硬件产品、解决方案等全面的IT增值服务。自成立以来，中建材信息以创新和服务客户为己任，持续开发和优化，在市场营销策略、渠道网络、物流管理、电子商务平台等方面为客户和合作伙伴创造了“一站式”平台。现已覆盖了包括服务器、网络产品、存储产品、安全产品、视讯产品及其软件等产品领域，与多家国际著名IT厂商建立长期战略合作伙伴关系，集成商合作伙伴超过1000家，成为专业、高效和富有特色的增值IT产品、解决方案和服务提供商。','产品包括：·华为产品·GE产品·Microsoft产品·SAP等','\xa0','中建材信息基于对客户业务的深入理解和客户的长期信任，通过值得信赖的行业知识和服务交付能力，为重点行业客户，提供咨询、应用软件开发、系统集成、相关培训、IT外包服务等服务。','\xa0','中建材信息依靠母公司进出口业务的深厚根基，拥有专业的物流管理人员和团队，从事以IT产品为主的供应链管理物流服务。针对不同客户的物流需求，以及客户实际运作情况，中建材信息为客户设计个性化的整体物流方案和全面物流解决方案，借助物流功能集成和社会物流集成服务，提高物流管理效率、降低经营成本，为客户在市场中赢得竞争优势。','我们的服务分为以下几个方面:','·国际全程门到门运输服务','·报关、报检服务','·国内运输门到门服务','·货运保险服务','·仓储服务']
网络工程师|6001-8000|上海-徐汇区|CC301127688|上海库智信息科技有限公司|[]|[]|['http://null']|['互联网/电子商务,基金/证券/期货/投资,跨领域经营,礼品/玩具/工艺美术/收藏品/奢侈品']|['上海市蒙自路207号3号楼2层']|[]
