co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
133924040|上海文广科技(集团)有限公司||||上海市徐汇区宜山路757号4楼||
524500221|上海即富信息技术服务有限公司|||http://www.jfpal.com/|互联网/电子商务,银行,基金/证券/期货/投资,租赁服务|上海市浦东新区金科路2555号（中国芯科技园）C栋|
750840281|上海纬那信息技术有限公司||||上海市普陀区交通路2447号（德必园）1号楼212室||
701714023|上海时伦信息技术有限公司|||http://www.deshine.com.cn|计算机硬件|普陀区真南路1428号致盛大厦北楼D座1105D室|上海时伦信息技术有限公司成立于2008年8月，是一家专门从事计算机硬件销售及网络平台建设与维护的IT企业。公司注册资金500万元人民币。公司现主营产品为DELL、Huawei、HP、Cisco、3COM、Lenovo等商用产品。尤其在DELL、华为产品方面，拥有非常良好的产品价格优势，与DELL及华为公司合作以来，信誉一直良好。公司拥有超强的销售网络体系，稳定的商品供货渠道，优秀的团队组织。基于这一优势，公司的业务迅速拓展，现已成为多家国内外知名企事业单位的优秀硬件供应商。     上海时伦自成立之初就建立了良好的客户关系维护系统和售后服务支持系统。承诺以真品实价参与市场竞争。积极进行开放性合作，现与上海、江苏、浙江等华东地区众多强势供应商建立了战备合作伙伴关系。在激烈竞争的市场环境中，上海时伦本着“顾客致上、诚信务实、服务第一”的企业理念；强化以优质的产品和周到的服务取信于社会。现业务范围已覆盖整个华东地区。 上海时伦信息技术有限公司目前拥有员工30多人，其中80%的员工拥有大专以上学历，20%的员工拥有本科以上学历。技术售后服务是公司重大优势，2012年以来公司承揽了上海戴鑫信息技术有限公司所有的技术类工作。 2010年5月，上海时伦信息技术有限公司正式成为戴尔第一批“戴尔行业授权合作伙伴”和“戴尔中国华东地区服务器产品总经销商”。 2015年9月，成都时伦信息技术有限公司正式成立，现有人员25人。 2016年10月，济南时伦信息技术有限公司正式成立，现有人员20人。
000542945|华为技术有限公司 |||http://www.huawei.com|通信/电信运营、增值服务,IT服务(系统/数据/维护),计算机硬件,计算机软件|深圳龙岗坂田|    我们是一家全球领先的信息与通信解决方案供应商，为电信运营商、企业和消费者等提供有竞争力的端到端ICT解决方案和服务，帮助客户在数字社会获得成功。    我们坚持聚焦战略，对电信基础网络、云数据中心和智能终端等领域持续进行研发投入，以客户需求和前沿技术驱动的创新，使我们处于行业前沿，引领行业的发展。    目前，我们的电信网络设备、IT设备和解决方案及智能终端已应用于全球170多个国家和地区，服务于全球1/3的人口。    华为是全球领先的电信解决方案供应商。我们基于客户需求持续创新，在基础通信网络、业务与软件、终端和专业服务等四大领域都确立了端到端的领先地位。凭借在固定网络、移动网络和IP数据通信领域的综合优势，华为已成为全IP融合时代的领导者。目前，我们的产品和解决方案已经应用于全球100多个国家，服务全球运营商50强中的44家及全球1/3的人口。 　　我们以丰富人们的沟通和生活为愿景，运用通信领域专业经验，帮助不同地区的人们平等、自由地接入到信息社会，消除数字鸿沟。为应对日益严重的气候变化挑战，华为通过领先的绿色解决方案，帮助客户降低能耗和碳排放，创造最佳的社会、经济和环境效益。    
448636718|北京富通金信计算机系统服务有限公司|||http://www.ftabs.com.cn|计算机软件,互联网/电子商务|北京市朝阳区惠新东街8号设计大厦14层|
205081417|北京佩美国际管理咨询有限公司||||北京市西城区西直门外大街1号院西环广场A座15层A3||是一家美国独资的制造业投资和咨询管理公司，总部设在北京。公司在华北和长江流域投资有若干家生产型企业，业务涉及电子、机械、化工和医疗器械等行业。因为我们本身具有制造业领域的直接经验，我们也为有兴趣进入或已经进入中国的美国制造业公司提供投资、建厂及管理方面的咨询顾问服务（项目管理、市场调查、财务、人力资源、政府关系等）。PRI倡导多元文化，除了中国人，我们也有美国、新西兰、英国、南非和东南亚的雇员。 　　欲了解更详细信息请登录 　　电子邮箱：
301127688|上海库智信息科技有限公司|||http://null|互联网/电子商务,基金/证券/期货/投资,跨领域经营,礼品/玩具/工艺美术/收藏品/奢侈品|上海市蒙自路207号3号楼2层|
291388085|上海会坚商务咨询有限公司|||http://www.huijian.biz|专业服务/咨询(财会/法律/人力资源等)|上海市张扬路400号|
660549425|杭州中港科技有限公司|||http://null|通信/电信/网络设备,IT服务(系统/数据/维护),计算机软件,计算机硬件|新加坡科技园LEO5幢2楼| 
244863118|上海捷卫信息科技有限公司||||上海市中山西路1265弄18号湘江大厦1206室||
120123197|RandstadTalent|||http://www.randstad.cn|专业服务/咨询(财会/法律/人力资源等)|上海市梅园路77号22楼|任仕达集团(RandstadGroup)成立于1960年，是全球最大的综合性人力资源服务机构之一，总部位于荷兰阿姆斯特丹。在全球40多个国家和地区设有4700多个分支机构，每天为57万名求职者提供工作岗位。2011年，其全球营业额达到162亿欧元，位列全球财富500强。 任仕达自2005年进入中国市场，总部设在上海，在华北、华东、华南等地区成立了多个分支机构，服务网络覆盖全国100多个一、二线城市，向企业提供包括搜寻与甄选、灵活派遣以及人力资源解决方案在内的全方位人力资源服务。 作为一家充满活力的专业招聘机构，任仕达始终坚持以人为本，不断追求创新。我们寻找才智过人、诚实可靠、胸怀抱负的求职者，把他们推荐给最适合的企业，帮助他们获得最具吸引力的薪酬和工作机会。 无论您是想拓宽职场发展之路，或是寻找正确的职业发展方向，我们的招聘顾问都会随时为您提供服务。 有了我们的协助，美好职业志在必得。 想了解更多详情，请登录任仕达中国网站 ，或在新浪微博上 ，与我们互动。
120946989|汉庭星空（上海）酒店管理有限公司|||http://www.huazhu.com|酒店/餐饮|上海市虹桥路2266号|  华住酒店集团，是国内一家全品牌的连锁酒店管理集团。自2005年创立以来，华住在短短数年间已经完成全国主要城市的战略布局，并重点在长三角、环渤海湾、珠三角和中西部发达城市形成了密布的酒店网络。2010年3月26日，“华住酒店集团”的前身“汉庭酒店集团”(NASDAQ:HTHT)在纳斯达克成功上市。 2014年，华住酒店集团与雅高酒店集团形成长期战略联盟，共同开辟在华酒店业务,交叉合作后在全球拥有超过4,700万忠诚会员，并使其接触到全球超过5,600家酒店。同时，华住原会员平台正式升级为粉丝平台，“华住会”更名为“好客汇”。   目前，华住酒店集团在中国超过280个城市里已经拥有2,000多家自有酒店和40,000多名员工，旗下拥有12个自有酒店品牌：涵盖高端市场的禧玥酒店、美爵酒店、漫心度假酒店，中端和经济型市场的诺富特、美居、全季、星程，宜必思尚品、宜必思、汉庭、怡莱和海友酒店，满足商务和休闲出行的不同需求，并专注于以宾客为中心的服务细节打造和产品技术创新。 如今，以“成为世界级的伟大企业”为愿景的华住酒店集团，在创始人季琦的带领下，已经成为中国发展最快的酒店集团之一，并于2014年推出“华住世界”（HWorld）。作为一个围绕会员而打造的住宿出行生态圈，HWorld将在未来几年融合国内酒店市场，实现中国酒店业史上规模最大的“万店联盟”，实现共荣。围绕住宿这一核心需求，HWorld还将带动娱乐、机票预订、出行、景点等综合性生活平台的打造，成就美好生活。
590492229|上海擎昭实业有限公司||||||
292801039|上海提浜克企业管理有限公司||||上海市杨浦区荆州路334弄108号A区101室||
457927219|万创网络科技有限公司||||上海||
301137739|上海一米投资管理有限公司||||上海市黄浦区689号海通证券大厦1607室||上海一米投资管理有限公司（以下简称“一米投资”）是一家集资产配置、投资，融资为一体的综合性金融信息服务平台。股东为深圳鸿隆投资控股有限公司，广东志龙投资有限公司、旗亿文化传媒（上海）有限公司和上海米穗企业管理合伙企业（有限合伙）。于2015年1月批准成立，注册资金1176.47万元，私有股份制企业。公司经营范围：投资管理，资产管理，投资咨询，实业投资，企业管理咨询，财务咨询（不得从事代理记账），市场营销策划，商务咨询，金融信息服务（不得从事金融业务），接受金融机构委托从事金融信息技术外包，接受金融机构委托从事金融业务流程外包，接受金融机构委托从事金融知识流程外包，从事货物进出口及技术进出口业务。 一米投资的管理团队具有国内外贸易、银行、担保、保险、第三方理财、司法、媒体等多种行业背景。在国内外贸易、商业投资、财务管理及风险控制等方面有着长期丰富的实践经验。 一米投资坚持以客户为中心，秉承独立、客观、公正的原则，运用专业的金融知识体系严格把控投资风险，为客户提供全方位、安全稳健的财富管理及投资，融资方面的金融服务。 易付税是一款由上海一米投资管理有限公司开发、基于全国海关税费电子系统。 整合互联网资产交易平台、资金平台和保险机构等优势资源，通过代表贸易真实性背景的税费数据，彻底解决货款与税费的时间差矛盾，为企业提供一站式、纯信用、无抵押的普惠式金融服务的创新金融产品，帮助企业降低资金占用，实现快速通关，以信用创造财富！ 产品网页：http://www.efushui.com/
433278133|上海宏路数据技术股份有限公司||||上海市虹口区溧阳路735号半岛湾创意园1号楼201室||
425912514|衡驰企业管理咨询(上海)有限公司||||上海市浦东新区东方路738号816室||
000613300|埃森哲(中国)有限公司||||上海市|| 
452559614|上海仁聘管理咨询有限公司|||http://www.job12333.com|快速消费品（食品/饮料/烟酒/日化）,计算机软件,贸易/进出口,广告/会展/公关|徐汇区中山西路2025号永升大厦21楼2125-2126|上海仁聘管理咨询有限公司是上海跃星人力资源有限公司的子公司 人力资源服务许可证： ，主要从事专业的人力资源咨询服务，是一家致力于帮助企业发现人才，招聘人才，对人力资源和人力资本进行整合，以达到企业对人才合理开发、有效利用为目的的 专业服务提供商，公司由行业内的专业资深人士和高级人事顾问组成，为白领人才提供职业规划和求职指导等咨询服务。 仁聘白领人才推荐中心是公司三大事业部之一，是面向个人提供专业服务的白领人才推荐机构，受 家以上的单位委托招聘（外资企业占 ，国企 ），免面试排队，灵活安排面试时间，接受企业人事小范围面试，获得 以上面试成功概率。 合作的知名企事业单位包括：乐扣乐扣 、万科第一地产、江森自控、中国石化、诺贝尔、利丰集团、奔腾电器、 、施耐德电器、 、荷兰 集团、百联集团、 、马士基（中国）物流、顺丰集团、宝姿、国美电器、国药控股、华信石油、东方艺术中心、京东商城、贝塔斯曼、 、罗门哈斯 、中国青年旅行社、菲仕康眼镜、现代建筑、 、可口可乐、 、江南造船、上海电气集团等。 如果你希望获得更好的工作机会，请电话垂询，或来我部当面咨询： 上海地址：徐汇区中山西路 号永升大厦 楼 ； 交通： 地铁 号、 号线、 号线宜山路站 电话：（ ） 陈老师 咨询时间：周一至周六： ： —— ： 邮箱：
