zl_co_id|zl_co_name|zl_co_tags|zl_co_website|zl_co_type|zl_co_ee_size|zl_co_address|zl_co_desc|zl_update_time
[%%COMPANYNUMBERTEM_HTML%%]|阿迪鱼头美食|私营||私营|1-49人||阿迪鱼头美食位于瓯北镇昌新路2号，楠溪第一楼对面，龙桥码头往香港城方向走路十分钟。主要经营高压鱼头和其他热菜冷菜，欢迎惠顾。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|A1本求职大客司机|私营||私营|1-49人||本人1997年的驾驶证，多年大客旅游和商务经验 对北京路况 景点 及周边都相当熟悉。 安全行驶百万公里无事故，工作勤奋 安全意识强。有客运资格证 期望职位：客运司机 有客运资格证期望薪资： 3000-5000元/月|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|奥龙汽车有限公司|私营||私营|100-499人|| 奥龙汽车有限公司的前身为湖北双龙专用汽车制造有限公司，创建于1997年，是全国第二家，湖北省首家定点生产改装专用车的民营企业。2010年公司投资10600万元，新上客车项目，公司从原来主要生产改装专用汽车扩大到生产各类汽车零部件、专用汽车、客车的生产制造和销售。公司位于炎帝神农故里、编钟古乐之乡、中国专用汽车之都、荆楚古城—湖北省随州市，属湖北随州经济开发区重点企业。107/316/312国道、汉十高速、随岳高速、京广铁路、汉丹铁路贯穿全境，公路铁路交通十分便利。随州地处长江流域和淮河流域的交叉地带，位于鄂西北，是武汉向西北辐射的重要接力站和中转站，区位优势明显。公司总资产25000多万元，占地面积21.1万平方米，建筑面积7.2万平方米。公司拥有全国一流的涂装生产线及整车检测线；拥有一流的各类专用车、客车冲压/焊装/总装生产车间、全自动化的生产设备和检验检测仪器600余台（套）；现有员工300余人，其中：技术管理人员80余人。公司技术力量雄厚，检测手段完备。公司生产的“久龙”牌各类工程车、液罐车、粉罐车、加（运）油车、环卫车、作业车、通用货车、挂车、客车等十大系列300多个品种，具备 [查看全部] 年产6000辆的生产能力。具有先进的制造工艺、全自动化的生产设备和检测仪器。具有完善的质量管理体系。具有高素质的员工队伍，为生产优质产品提供了可靠保障。公司是东风、解放、重汽、陕汽、欧曼等主机厂大委改首选生产制造企业。产品畅销全国30多个省、市、自治区，并出口欧洲、非洲、亚洲等国家。公司在重视经济发展的同时，重视科学的、现代化质量管理，建立起从产品设计、开发、材料采购、产品制造、检验检测，直至销售服务全过程的质量管理体系。公司遵循“以人为本，用户至尊，诚信共赢”的企业理念，坚持“以质量求生存、以创新求发展”为经营宗旨，不断提高产品品质和技术含量。努力把奥龙打造成随州地区乃至全国优秀的专用汽车生产企业之一。 |'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|奥斯帷深圳科技有限公司|股份制||股份制|1-49人||　我们专门为客户提供智能家居和系统集成，智能控制方面的产品方案，以推动国内该行业的发展，产品以无线通信为载体，结合计算机和互联网技术，辅以手机或相关终端控制为目标．|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|百花园市场|个人企业||个人企业|1-49人||百花园市场 招聘营销人员。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|巴柯拉|私营||私营|1-49人||西南商都百盛招聘童装营业员1350+提成。认真努力有责任心，经验优先非诚勿扰。另招聘店长待遇面议。。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|安邦财产保险有限股份公司|股份制||股份制|1000人以上||安邦财产保险股份有限公司是一家经营财产保险、意外伤害保险和短期健康险业务的全国性保险公司，于2004年6月9日获得中国保监会批准筹建，2004年9月30日获准开业。 　　安邦保险实力雄厚，注册资本51亿元。股东包括上海汽车集团股份有限公司(SAIC)、中国石油化工集团公司（Sinopec Corp）等“世界500强”企业。 　　凭借一流的文化和机制，安邦保险发展迅速。目前已在全国31个省、市、自治区和部分计划单列市设立了37个分支机构，是全国分支机构最全的财产保险公司之一。 　　“视客户为亲人”是安邦保险的服务宗旨。安邦保险坚持为客户提供优质的服务和优惠的价格，以实现客户增值。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|百度台球俱乐部|私营||私营|1-49人||娄底市娄星区星都台球俱乐部集台球，棋牌室，KTV，一起的综合娱乐休闲场所。 引领台球时尚，撞击激情生活！ 　　星都台球俱乐部所有台球案都按国际比赛标准定制，有进口汤氏标力英式斯诺克比赛台、星牌中式黑八台、金伯朗98曼谷亚运会唯一指定花式撞球比赛台。这里不只是台球，还有咖啡酒吧、棋牌室、ＫＴＶ。绝对是您邀上三五好友休闲聚会的好去处！|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|百环饭店|私营||私营|1-49人||百环饭店，地处北京繁华商业中心 双井桥 ，现在诚招服务人员20名，具有很好的客户群，菜品精细，口味地道，深受客人好评。秉承生态、健康的经营理念。为广大朋友提供一个舒适用餐环境。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|百莲凯健康养生馆|私营||私营|1-49人||百莲凯成立于2001年，是中国美容连锁的先驱。企业拥有先进的经营模式，完善的企业体系。旗下加盟店遍及全国，数量超过3000家，成为了当之无愧的“美容连锁之王”！被誉为“美容业的麦当劳”|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|百惠果园水果超市|个人企业||个人企业|1-49人||百惠果园水果超市我们位于北京昌平天通西苑三区26号楼6门一层底商，主要经营中高档水果，进口水果，应季水果等。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|白沟金波家电|私营||私营|1-49人||白沟家电零售企业，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|百日提高百分训练营|私营||私营|1-49人|| 上海交大昂立教育兰州分校 昂立中学生教育自2001年建院以来，一直传承百年交大优秀的学院派办学风格，秉承昂立教育“以学生为中心，以鼓励关爱学生为主导，努力让学生更优秀”的办学宗旨，坚持“诚信为本、优师优质、严格管理”的服务理念，积极打造中学生课外辅导精品课程。 　　从中学生分院成立的第一天起，就一直坚持分层、精师、严教的办学特色，开设中学生八大课程（同步精品班、同步提高班、VIP一对一、自主招生班、竞赛尖子班、精品高复班、网络名师班、专题讲座班），由示范性中学的现任教师和专职教师组成优秀的教学团队执教，通过高质量的授课、辅导，帮助中学生巩固基础知识、强化学习及考试能力、提高综合素质，使学生在中考、高考中取得优异成绩。分院成立八年来由最初的每年辅导三百人次到如今每年辅导五万人次，学生高考一本录取率一直保持在83℅以上，中考示范性高中录取率始终保持在86℅以上，深受家长和学生的欢迎，目前昂立中学生教育已成为沪上规模最大、师资精良、质量过硬、口碑良好、教学质量优秀的专业化A级办学机构。 　　我们深知只有“一切为了学生，为了一切学生，为了学生一切”不断夯实课堂教学质量、努力完善课前课后服务 [查看全部] ，才能不辜负家长和学生对我们的厚望。同时我们还常年举办公益讲座、开设家长学校，对品学兼优但有特殊困难的学生赠送优惠课程和颁发奖学金。 　　昂立中学生分院的全体教职员工向广大家长和中学生郑重承诺：“昂立更努力，让您更优秀”。 |'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|邦讯技术股份有限公司|股份制||股份制|1000人以上|| 邦讯技术股份有限公司2002年成立于北京市海淀区高科技园区，是经北京市科委批准成立的高新技术企业。 公司主要从事研制、开发、生产移动通信外围设备（含 GSM 、 CDMA 、 WCDMA 、 SCDMA 、 TD-SCDMA 、 DCS1800 、 PHS 、 WLAN 、 3G 、 WIMAX 等）软硬件产品，销售、安装本公司产品并提供技术服务，致力于为运营商提供一流的设备、服务以及高性价比的综合解决方案公司。公司目前主要产品有：移动通信直放站、室内分布系统、城市小区优化系统、功率直放机、基站放大器系统、塔顶放大器系统、移动通信天线、射频器件；移动通信网络优化系列软、硬件产品；基站、线路巡检考核系统；防雷系统以及应急通信系统等产品。 　　公司拥有强大的、独立自主的研发力量，目前公司核心员工均具有深厚的行业背景和丰富的从业经历，技术队伍有强大的研发实力和工程服务能力。公司拥有十六家分支机构及子公司，主要分布于泉州、福州、兰州、西宁、银川、成都、重庆、乌鲁木齐、沈阳、西安、贵阳、济南、南京、合肥、石家庄、广州等地。 在无线通信事业高速发展的今天，邦讯将持续不懈地 [查看全部] 追求更先进的技术、更优质的产品以及更加完善周到的服务，努力为运营商提供全面综合的解决方案，积极迎接挑战，建设卓越企业。 公司秉承以人为本的理念，为员工提供广阔的发展空间和大量的自我提升的机会。现因公司业务迅速发展的需要，诚邀有识之士加盟。 |'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|宝鸡新起点电脑培训中心|私营||私营|1-49人||宝鸡新起点电脑培训中心是宝鸡地区一家高端电脑培训机构，中心以目前社会就业率比较高的热门电脑技术为主要培训内容，电脑全程教育体系为辅的教学模式。中心实行小班授课，8人一班，人手一机，真机教学，一对一教学。完全满足学员网络实验学习要求。使学员快速掌握所学技能，学费低廉，让您学有所值，欢迎各界朋友前来咨询考察！！  本中心开设课程：网络工程师、网络管理员、网络工程实战、inux系统工程师、平面设计、网站开发、网页设计 、电脑应用班、电脑维修、3dmax专业班、AUTOCAD专业班等；情景实践式教学！小班授课，每班8人！！！ 学习实验时间长！！专人辅导！！！一对一教学，随到随学！中心备有男女生独立学员宿舍，方便外地学员学习。欢迎来电咨询！！|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京艾岩信息技术有限公司|私营||私营|1-49人||个人照相 着急 要办签证出国 个人照相 着急 要办签证出国个人照相 着急 要办签证出国个人照相 着急 要办签证出国|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|保定诚信国际旅行社|私营||私营|1-49人|| 诚信国际旅行社有限公司是经国家旅游局批准，已足额交纳旅游质量保证金，由从事多年旅游事业的专业人士和一批有志从事旅游业新秀组成，许可证号为：L—HEB07114是具有独立法人资格的地接和组团社。 诚信国际旅行社是唯一一家徐水人自己注册、经营、管理，总部在徐水当地的旅行社。他注册资金30万，已向旅游局交旅游质量保证金10万元；已投旅行社责任保险15万；具有合法经营旅游的独立资质，绝对免除您休闲度假观光旅游的后顾之忧；徐水诚信旅行社是您外出旅游的首选！ 我旅行社拥有了一支高水平、高素质的管理队伍和训练有素的专业导游队伍，且有多年的旅游接待经验;与河北省内及北京、天津等周边景区及铁路部门和各地宾馆饭店有着长期密切的合作关系，结下了坚实的协作关系，区域间旅游合作十分良好，可为您的旅游提供“吃、住、行、游、购、娱”等全方位、一条龙的服务。我们一直秉承“老老实实做人、本本分分做事”的人生信条和“诚信为本、服务第一”的经营理念，凭借完备的接待体系，丰富的操作经验，诚实、高效、严格、规范的管理机制，励新图志，致力于以优质人性化的服务来回报社会。 以质量求生存，以诚信求发展。不断“进取创新、精 [查看全部] 益求精”是我们的成功秘诀。 优质、守信是我们合作的基础；热情、友好是我们的服务宗旨。保定徐水诚信旅行社有限公司是您的忠实朋友，我们期待与您的结识。 我们力争“立足徐水，服务社会”；“让您游的开心，玩的尽兴”是我们的心愿；“让旅游者欢心，令合作者放心”是我们的宗旨！ |'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京艾华尚佳餐饮服务有限责任公司|个人企业||个人企业|1-49人||本公司以风靡欧美的酸奶冰激凌为主打产品，主营健康冷热饮品。为广大喜爱甜品，以及冷饮的朋友提供健康的低热量产品。位于东直门地铁B出口 东方银座|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|百胜餐饮（福州）有限公司|上市公司||上市公司|1000人以上|| 百胜餐饮集团中国事业部是百胜全球餐饮集团中国总部，于1993年在上海成立。截止2012年12月底，中国百胜在全国拥有超过5200家餐厅，其中包括超过4200家肯德基、超过800家必胜客、近450家小肥羊、150余家必胜宅急送及近30家东方既白餐厅，员工人数超过46万。2012年，中国百胜保持快速发展势头， 全年开出889家新店。中国百胜已经成为百胜餐饮集团在全球发展最快、增长最迅速的市场。 百胜餐饮集团是全球餐厅网络最大的餐饮集团，在全球超过125个国家和地区拥有39,000多家连锁餐厅, 员工人数150多万。2012年，百胜餐饮集团的收入超过130亿美元，百胜餐饮集团旗下肯德基、必胜客和塔可钟三个餐饮品牌分别在烹鸡、比萨、墨西哥风味食品连锁餐饮领域居全球领导地位。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京傲瑞兴科技有限公司|私营||私营|1-49人||公司名称: 北京傲瑞兴科技有限公司 公司行业: 建筑/装修 公司类型: 民营 公司规模: 20人以下 公司地址: 北京市朝阳区十里堡1号院恒泰大厦B座 北京傲瑞兴科技有限公司是一家专业的系统集成商和机电工程承包商，主要从事建筑智能化设计施工及机电工程设计施工。经过多年的自身努力和各界友人大力支持，现已与许多世界及国内知名公司建立了长期合作伙伴关系。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京八维研修学院|私营||私营|1000人以上||北京八维研修学院是经北京市人民政府批准的以工程专业性高等教育为主，集职业性高等教育、职业技能认证等非学历教育为一体的全日制民办高等院校。 学院以培养工程专业型人才为目标，现设有七大学院：软件工程学院、网络工程学院、动画艺术学院、环境艺术学院、广告艺术学院、英语学院、俄语学院。学院师资力量雄厚，治学态度严谨，自建校以来已经为社会培养出数万名计算机专业人才，学生遍布全国各地，其精湛的技能和良好的素质赢得了众多企业的青睐。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京爱屋吉屋|私营||私营|1000人以上||如果有实习生、应届毕业生，有同行业经验者更佳，找工作可以考虑下:工作地点（通州） 招聘！招聘！现搜房网‖房天下二手房电商集团招聘经纪人，2010年美国纽交所上市公司 底薪5000，并上五险一金，开单上调到6500提成另算，按80%提，比任何一家提成都高， 以下都是入职不到一月的新员工，一单买卖，几千到几万的提成就到手了[色]好的平台，就看你有没有慧眼喽[呲牙] 这都不是虚构的，只要你勤奋，好学，搜房这个大舞台让你任意发挥，集团分部定期会有专业培训 在这里，我们随时欢迎你的加入[握手] 在这里..房天下..，因你更精彩[强][强][强] ☎：1521062905|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京奥蒙永利网络科技有限责任公司|私营||私营|1-49人||lio品牌护肤品全国总经销|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京傲城育达科技有限公司|私营||私营|1-49人||傲城教育科技有限公司从事教育行业15年之久，公司主要教育培训、出国留学、高考咨询、学历教育等。网络教育、成人教育、自学考试、志愿填报|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京宝华同创文化传播有限公司|私营||私营|50-99人||北京宝华同创文化传播有限公司欢迎您加入|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京博绮之秀文化传媒有限公司|私营||私营|1-49人||本公司主要以女子打击乐和舞蹈为主。凤舞神鼓团女子打击乐成立于2009年。乐团、乐队成员均是来自中国各地的优秀专业女子打击乐手，为了将高水平的打击乐音乐艺术与市场相结合，凤舞神鼓乐队几年来进行了大胆的创新与尝试，并且在形式上和风格上创立了自身独有的特征。建团以来，乐团在中国各地和中国各地进行演出两千多场次！|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京贝多企业管理有限公司|股份制||股份制|100-499人||本公司有物业,经自有企业经营业统计,财务助理,统计,录入,数据分析,有出纳经验者优先,每周休1天,早9晚5点30,不加班,|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京昌平数码快印店|私营||私营|1-49人||京昌平数码快印店招聘平面设计师兼美术教师（提供食宿）要求美术类大学本科毕业，有扎实的绘画基础，良好的口头表达能力，熟练掌握各种平面软件，懂印刷制版及工艺流程，掌握印刷用纸的开法及算法。能设计且能教学及有驾照者优先。（不接受电话咨询）条件合格者请将个人简历，绘画作品（素描，色彩，速写），薪金要求，近照及全身照发送到art667788@sina.com工作地点是昌平政府街（不接受电话咨询）|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京大学物美超市珠宝店|私营||私营|1-49人||北大校内物美超市地下一层珠宝店,急需导购一名,要求:女性,年龄:18-25岁,兼职或全职,有店面导购经验者优先录取.有意者请与我们联系.|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京诚利通数码技术有限公司|私营||私营|1-49人||北京诚利通数码技术有限公司是在中关村高新技术园区注册的软件企业，专注于中国标准化电子签名系统产品的研究开发和生产销售，是中国标协唯一推荐的、也是微软唯一推荐的电子签章厂家。其ESS电子签章系统、ESS中间件和ESS网面签名等已成为业内知名的产品，受到电子政务、电子商务、金融机构和企业等各行各业用户的好评.|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京北创汇拍文化传播有限公司|股份制||股份制|1-49人|| 北京北创汇拍文化传播有限公司为一家集企业公关策划、广告传媒、艺术品拍卖、会议会展、人力资源服务为一体的综合型文化传播公司。公司在北京、上海、山东、山西等设有自己的分支机构,在中国其他展会城市拥有一批长期合作伙伴,享有行业领先的市场份额。独特、品牌、个性化的服务深受客户的信赖。    专注行业：会展、艺术品拍卖、广告传媒、艺术品投资；     业务包含：广告、传媒、展览、会务策划、拍卖运作、艺术品投资、艺术品鉴赏及运作、大型活动策划及执行、电子商务、网站运作、人力资源服务、咨询培训、影视动画、奢侈品等。    旗下知名品牌：汇拍艺术网 www.huipai.com.cn 国内专业艺术品拍卖收藏资讯门户，集艺术品拍卖、收藏、投资、鉴赏、艺术家、网上展示、奢侈品、顶级私人收藏等综合门户网站。工作团队    公司拥有一支高学历、高素质的专业化人才管理队伍，以及完善科学的管理模式，执行团队通过严格挑选、专业培 [查看全部] 训、精心组建。 作为一家服务全球立足本土的企业，我们年轻而充满朝气，经验丰富而乐于迎接挑战。 公司邀请北京数十所高校知名教授学者及行业专家组建常年顾问团，聘请数名研究生、硕士等高学历的专业筹划服务团队。公司面向国内外高层次政府机构、文化艺术机构或知名公司企业提供专业服务，以高效的办事能力、严谨的工作态度， 为客户提供最优质的服务。诚邀加盟    北创公司视人才为企业最大的财富、以实现员工价值最大化为己任、以促进员工与企业的共同成长为目标，为员工创造广阔的施展平台和发展空间，公司正以其超前的经营理念、创新的文化艺术创意和独特的企业文化吸引越来越多的有识之士加盟。 |'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京创意天成经济公司|私营||私营|50-99人||混合机份额将哦了买了个蘑菇美丽模拟不必备抵法混合机份额将哦了买了个蘑菇美丽模拟不必备抵法混合机份额将哦了买了个蘑菇美丽模拟不必备抵法混合机份额将哦了买了个蘑菇美丽模拟不必备抵法混合机份额将哦了买了个蘑菇美丽模拟不必备抵法混合机份额将哦了买了个蘑菇美丽模拟不必备抵法|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京兵蚁企业管理服务中心|私营||私营|1-49人|| 天津智典风云企业管理服务中心是目前天津最优秀的体验式培训公司之一，致力于为国内外企业和组织的培训需求提供解决之道，提供具有现代管理观念与技能的高级培训课程，并为国内外企业和组织在建立管理标准的进程中提供必要的知识、技能和态度的培训。天津智典风云企业管理服务中心是率先推出培训项目整合服务的体验式培训和NLP培训的公司 ，我们的课程分为三大系列：户外体验式培训系列；野外生存挑战系列；企业管理内训系列。公司为港务局、一航局四公司、宝洁公司、 Han sky信息公司、港务局滚装码头、智天国际、卓轮机械 、汤浅电池、北京青年报、中国环境与发展国际合作委员会、好利来、佳能、平安保险、中国网通、前程无忧、 司法部、中集集团、宇达房地产、富力地产、奇正药业、西门子、今日味百、中国人民解放军3401、招商国旅、中旅、中国联通、中电华夏、中国机械、中煤集团、中粮集团、中企动力、时代光华、北大纵横、中国石油、华晨宝马、民生银行、新基础集团、中航堪察设计研究院、中关村邮局、对外经贸大学、中建国际、天津网通、天津一汽丰田、天津海关、新滨海周刊报社、塘沽青年联合会 [查看全部] 、天津对外贸易公司、天津规划设计院等公司提供了专业的体验式培训。我们非常愿意与您分享我们的成功经验，并帮助企业和组织打造出一流的团队。我们的核心培训成员均来自各大企业的管理阶层，具有最少三年体验式培训经历。担任管理内训课程的教学导师均有丰富的企业管理实战经验，同时公司还在国内外聘请了学术造诣深厚的富有实际管理经验的专家学者作为公司的兼职教授，师资力量雄厚。智典风云人用智慧和激情、专注和专业、和您一起不断学习！不断改变！不断创新！和您一起打造和谐、激情四射的高绩效团队！这是我们风云人的追求，也是我们风云人的使命！ |'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京导医网|私营||私营|1-49人||健康服务公司|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京德瑞天海商贸有限责任公司|私营||私营|1-49人||http://www.dr-coffee.com.cn/ 我们是一家以经营咖啡豆、咖啡机为主的公司，自成立以来已经和众多经销商、咖啡馆及国内外一些知名企业有过长期合作。 产品涵盖了进口全自动半自动咖啡机、商用家用吸尘器、水煲茶煲、烤箱、食品料理机等各大系列。目前我们的合作伙伴包括咖啡商、酒店、office办公室、集团office采购、咖啡店连锁。 主营客户：欧迪办公、卓越网、喜来登酒店、长城饭店、北宫山庄、LG公司、诺基亚公司、雷克萨斯/宝马4S店等，百安居、东方家园等建材渠道及大中、国美、各大商场。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|北京达博长城锡焊料有限公司|中外合资/合作||中外合资/合作|100-499人||北京达博长城锡焊料有限公司（中法合资）成立于2005年6月，是由法国投资方相对控股的合资企业，该公司的前身是北京达博长城锡焊料有限公司。公司位于北京中关村科技园（通州园）金桥科技产业基地，主要生产焊锡丝、挤制焊锡条、焊锡膏、焊锡球、焊粉、焊片、 焊棒、无铅焊料、特种焊料及助焊剂等二十余种系列产品，年生产能力2000吨。|'20170602'
